no_households,no_tasks,algorithm,penalty_weight,cost_function_type,Average run_time,No_iterations,max_demand initial,max_demand final,max_demand reduction,PAR initial,PAR final,PAR reduction,objective initial,objective final,objective reduction,cost initial,cost final,cost reduction
50,10,heuristic,10,piece-wise,0.029,8,67985,234346.0,-2.447,1.73,5.97,-2.451,32642670.5,138929311.4,-3.256,32642670.5,138494511.4,-3.243
50,10,heuristic_fw,10,piece-wise,0.001,8,67985,46640.18627650782,0.314,1.73,1.19,0.312,32642670.5,26688594.38947305,0.182,32642670.5,26683030.26,0.183
100,10,heuristic,10,piece-wise,0.092,7,146787,417126.0,-1.842,2.04,5.8,-1.843,58843026.9,137612503.5,-1.339,58843026.9,137079803.5,-1.33
100,10,heuristic_fw,10,piece-wise,0.001,7,146787,93348.32334607842,0.364,2.04,1.3,0.363,58843026.9,48587072.828272015,0.174,58843026.9,48582430.78,0.174
