,repeat,algorithm,average_run_time,no_iterations,no_households,no_tasks,penalty_weight,cost_function_type,max_demand initial,max_demand final,max_demand reduction,PAR initial,PAR final,PAR reduction,objective initial,objective final,objective reduction,cost initial,cost final,cost reduction
0,0,optimal,0.515,2,5,5,0,piece-wise,18550,32100.0,-0.73,6.81,11.78,-0.73,2140521.0,9189102.2,-3.293,2140521.0,9189102.2,-3.293
1,0,optimal_fw,0.005,2,5,5,0,piece-wise,18550,12017.302912989791,0.352,6.81,4.41,0.352,2140521.0,1833323.88,0.144,2140521.0,1833323.88,0.144
2,0,heuristic,0.0,4,5,5,0,piece-wise,18550,18000.0,0.03,6.81,6.61,0.029,2140521.0,2050360.2,0.042,2140521.0,2050360.2,0.042
3,0,heuristic_fw,0.003,4,5,5,0,piece-wise,18550,9493.607780985592,0.488,6.81,3.48,0.489,2140521.0,1831256.03,0.144,2140521.0,1831256.03,0.144
4,1,optimal,0.57,2,5,5,0,piece-wise,18303,18273.0,0.002,13.26,13.24,0.002,1232153.0,1251356.3,-0.016,1232153.0,1251356.3,-0.016
5,1,optimal_fw,0.004,2,5,5,0,piece-wise,18303,9491.487965120634,0.481,13.26,6.88,0.481,1232153.0,927413.91,0.247,1232153.0,927413.91,0.247
6,1,heuristic,0.002,3,5,5,0,piece-wise,18303,18052.0,0.014,13.26,13.08,0.014,1232153.0,1175870.8,0.046,1232153.0,1175870.8,0.046
7,1,heuristic_fw,0.002,3,5,5,0,piece-wise,18303,9295.697956079533,0.492,13.26,6.74,0.492,1232153.0,927388.0,0.247,1232153.0,927388.0,0.247
8,2,optimal,0.575,2,5,5,0,piece-wise,30900,43150.0,-0.396,11.36,15.86,-0.396,2367968.0,5107149.0,-1.157,2367968.0,5107149.0,-1.157
9,2,optimal_fw,0.004,2,5,5,0,piece-wise,30900,18503.898608476997,0.401,11.36,6.8,0.401,2367968.0,1829554.49,0.227,2367968.0,1829554.49,0.227
10,2,heuristic,0.002,3,5,5,0,piece-wise,30900,18000.0,0.417,11.36,6.62,0.417,2367968.0,1828938.0,0.228,2367968.0,1828938.0,0.228
11,2,heuristic_fw,0.003,3,5,5,0,piece-wise,30900,15791.220577980403,0.489,11.36,5.8,0.489,2367968.0,1828288.02,0.228,2367968.0,1828288.02,0.228
12,3,optimal,0.585,2,5,5,0,piece-wise,18000,30401.0,-0.689,8.73,14.74,-0.688,1688192.0,7774331.8,-3.605,1688192.0,7774331.8,-3.605
13,3,optimal_fw,0.005,2,5,5,0,piece-wise,18000,11492.40238244575,0.362,8.73,5.57,0.362,1688192.0,1388108.19,0.178,1688192.0,1388108.19,0.178
14,3,heuristic,0.004,2,5,5,0,piece-wise,18000,18630.0,-0.035,8.73,9.03,-0.034,1688192.0,2258806.0,-0.338,1688192.0,2258806.0,-0.338
15,3,heuristic_fw,0.006,2,5,5,0,piece-wise,18000,9392.057625476618,0.478,8.73,4.55,0.479,1688192.0,1386341.22,0.179,1688192.0,1386341.22,0.179
16,4,optimal,0.575,2,5,5,0,piece-wise,14450,22581.0,-0.563,7.42,11.6,-0.563,1583948.0,5492904.8,-2.468,1583948.0,5492904.8,-2.468
17,4,optimal_fw,0.007,2,5,5,0,piece-wise,14450,9265.053567373701,0.359,7.42,4.76,0.358,1583948.0,1309917.32,0.173,1583948.0,1309917.32,0.173
18,4,heuristic,0.0,2,5,5,0,piece-wise,14450,13155.0,0.09,7.42,6.76,0.089,1583948.0,1392744.0,0.121,1583948.0,1392744.0,0.121
19,4,heuristic_fw,0.006,2,5,5,0,piece-wise,14450,7499.218239957723,0.481,7.42,3.85,0.481,1583948.0,1308169.91,0.174,1583948.0,1308169.91,0.174
20,0,optimal,1.04,3,5,5,1,piece-wise,12024,12024.0,0.0,5.12,5.12,0.0,2127788.8,2127788.8,0.0,2127788.8,2127788.8,0.0
