,max_demand,total_demand,PAR,objective,cost,inconvenient,step_size,rescheduling_time,pricing_time
0,689168.0,24072784.0,0.73,374882886.7,374882886.7,0.0,1.0,0.0,0.0
1,644265.1625215015,24072784.000000004,0.78,357555109.57,356642154.17,912955.3999999999,0.06699999999999999,0.3539219939998475,0.0019137859344482422
2,615141.0304291139,24072784.000000004,0.82,351543561.23160005,350829399.98,714161.2516,0.046,0.3493136929942011,0.0013911724090576172
3,608379.3410943936,24072783.999999996,0.82,349882801.4462324,349705713.12,177088.3262324,0.011,0.3469017599959443,0.0005860328674316406
4,595076.9672685894,24072784.0,0.84,348689062.76682293,348448221.91,240840.8568228872,0.022,0.3354085190044316,0.0008709430694580078
5,588537.6326286349,24072783.999999996,0.85,347965600.39057493,347852266.74,113333.65057494823,0.011,0.3358953080064566,0.0006070137023925781
6,582071.46266972,24072784.000000007,0.86,347509851.9498437,347436884.92,72967.02984367555,0.011,0.34422386300138896,0.0006158351898193359
7,575681.282580353,24072784.0,0.87,347204876.9426717,347146547.98,58328.962671719564,0.011,0.3357214240027133,0.0006301403045654297
8,569361.2734719691,24072784.0,0.88,346967389.4814106,346921715.6,45673.88141061108,0.011,0.34288537099200767,0.0006670951843261719
9,569361.2734719691,24072784.0,0.88,346967389.4814106,346921715.6,45673.88141061108,0.0,0.34334194600887713,0.00041413307189941406
