,max_demand,total_demand,PAR,objective,cost,inconvenient,step_size,rescheduling_time,pricing_time
0,689168.0,24072784.0,0.73,374882886.7,374882886.7,0.0,1.0,0.0,0.0
1,637178.531733765,24072784.0,0.79,356606514.96000004,355561541.16,1044973.7999999998,0.07799999999999999,120.82000000000002,0.0019998550415039062
2,609607.8142073283,24072783.999999996,0.82,351006366.3928,350362561.64,643804.7527999999,0.044,127.29000000000012,0.001291036605834961
3,602906.9902510477,24072784.0,0.83,349490455.6077192,349327519.26,162936.3477192,0.011,126.59999999999997,0.0007088184356689453
4,589133.2510539867,24072784.000000004,0.85,348254059.1640025,348031344.1,222715.06400245838,0.023,117.27000000000002,0.0008490085601806641
5,582660.9472923928,24072784.0,0.86,347697465.534296,347608145.7,89319.83429597296,0.011,132.98000000000002,0.0006189346313476562
6,575685.3599248842,24072784.000000004,0.87,347277188.88198847,347217610.32,59578.561988448324,0.012,134.43999999999997,0.0006778240203857422
7,568797.8716057856,24072783.999999993,0.88,346982665.62725616,346934648.57,48017.05725613862,0.012,132.63999999999993,0.0006561279296875
8,562005.3811465162,24072784.000000004,0.89,346777825.54531294,346735550.95,42274.59531292634,0.012,125.89000000000011,0.0006601810455322266
9,562005.3811465162,24072784.000000004,0.89,346777825.54531294,346735550.95,42274.59531292634,0.0,124.98999999999997,0.0004200935363769531
