,0,1,2,3,4,5,6
step_size,1.0,0.3140000000000001,0.151,0.061,0.022,0.026000000000000002,0.0
run_time,0.0,0.026000000000000016,0.03300000000000002,0.02900000000000002,0.04500000000000003,0.03100000000000002,0.037000000000000026
cost,29540026.5,57943854.1,39076075.3,31336527.4,42982055.0,35514107.3,30298963.0
objective,29540026.5,58288054.1,39237475.3,31467127.4,43072255.0,35623307.3,30371463.0
inconvenient,0.0,344200.0,161400.0,130600.0,90200.0,109200.0,72500.0
PAR,2.1,3.05,2.52,2.27,2.74,2.4,2.19
total_demand,1742837.0,1742837.0,1742837.0,1742837.0,1742837.0,1742837.0,1742837.0
max_demand,76304.0,110680.0,91486.0,82343.0,99600.0,87300.0,79343.0
