,average_run_time_per_iteration,no_iterations,no_households,no_tasks,penalty_weight,cost_function_type,max_demand initial,max_demand final,max_demand reduction,PAR initial,PAR final,PAR reduction,objective initial,objective final,objective reduction,cost initial,cost final,cost reduction
optimal,28.388,6,80,5,1,piece-wise,70508,74638.0,-0.059,2.31,2.44,-0.056,22312801.6,25394029.0,-0.138,22312801.6,25393719.0,-0.138
optimal_fw,0.012,6,80,5,1,piece-wise,70508,44830.642416592986,0.364,2.31,1.47,0.364,22312801.6,20585461.44458978,0.077,22312801.6,20585449.03,0.077
