no_households,no_tasks,algorithm,penalty_weight,cost_function_type,repeat,average_run_time_per_iteration,no_iterations,max_demand initial,max_demand final,max_demand reduction,PAR initial,PAR final,PAR reduction,objective initial,objective final,objective reduction,cost initial,cost final,cost reduction
20,5,optimal,1,piece-wise,0.5,5.8495,5.5,25907.5,31072.0,-0.2025,3.505,4.16,-0.2015,5792397.75,8645477.7,-0.4465,5792397.75,8645296.7,-0.4465
20,5,optimal_fw,1,piece-wise,0.5,0.010499999999999999,5.5,25907.5,16248.089165294437,0.372,3.505,2.195,0.372,5792397.75,4997547.269330027,0.1335,5792397.75,4997528.665,0.1335
40,5,optimal,1,piece-wise,0.5,12.986,4.0,37753.5,40076.0,-0.0685,2.465,2.6399999999999997,-0.0695,11025555.0,11933135.850000001,-0.093,11025555.0,11933104.350000001,-0.093
40,5,optimal_fw,1,piece-wise,0.5,0.014499999999999999,4.0,37753.5,23833.227015491204,0.3685,2.465,1.56,0.3675,11025555.0,10313686.768722983,0.065,11025555.0,10313668.34,0.065
60,5,optimal,1,piece-wise,0.5,20.298000000000002,4.5,61784.5,61784.5,0.0,2.4699999999999998,2.4699999999999998,0.0,18339068.049999997,18339068.049999997,0.0,18339068.049999997,18339068.049999997,0.0
60,5,optimal_fw,1,piece-wise,0.5,0.01,4.5,61784.5,38745.909979844175,0.3725,2.4699999999999998,1.5499999999999998,0.3725,18339068.049999997,16935253.76318121,0.0755,18339068.049999997,16935250.740000002,0.0755
80,5,optimal,1,piece-wise,0.5,27.7085,11.0,72295.5,103663.0,-0.42500000000000004,2.24,3.16,-0.42200000000000004,24277716.200000003,44105837.8,-0.766,24277716.200000003,44104550.8,-0.766
80,5,optimal_fw,1,piece-wise,0.5,0.0095,11.0,72295.5,46070.06420492446,0.3625,2.24,1.4249999999999998,0.364,24277716.200000003,21815722.361774087,0.0995,24277716.200000003,21815706.630000003,0.0995
100,5,optimal,1,piece-wise,0.5,34.1235,8.5,79174.0,104717.5,-0.3485,1.92,2.565,-0.348,29746993.2,42884809.95,-0.46199999999999997,29746993.2,42883669.45,-0.46199999999999997
100,5,optimal_fw,1,piece-wise,0.5,0.0135,8.5,79174.0,50371.09518313012,0.363,1.92,1.22,0.3645,29746993.2,27716295.841594473,0.0685,29746993.2,27716288.439999998,0.0685
