,repeat,algorithm,average_run_time_per_iteration,no_iterations,no_households,no_tasks,penalty_weight,cost_function_type,max_demand initial,max_demand final,max_demand reduction,PAR initial,PAR final,PAR reduction,objective initial,objective final,objective reduction,cost initial,cost final,cost reduction
0,0,optimal,6.069,8,20,5,1,piece-wise,25515,35844.0,-0.405,3.25,4.56,-0.403,6391034.5,12097194.4,-0.893,6391034.5,12096832.4,-0.893
1,0,optimal_fw,0.01,8,20,5,1,piece-wise,25515,16728.178330588875,0.344,3.25,2.13,0.345,6391034.5,5294258.870564053,0.172,6391034.5,5294251.57,0.172
2,1,optimal,5.63,3,20,5,1,piece-wise,26300,26300.0,0.0,3.76,3.76,0.0,5193761.0,5193761.0,0.0,5193761.0,5193761.0,0.0
3,1,optimal_fw,0.011,3,20,5,1,piece-wise,26300,15768.0,0.4,3.76,2.26,0.399,5193761.0,4700835.668095999,0.095,5193761.0,4700805.76,0.095
4,0,optimal,13.392,5,40,5,1,piece-wise,41527,41527.0,0.0,2.42,2.42,0.0,12293290.9,12293290.9,0.0,12293290.9,12293290.9,0.0
5,0,optimal_fw,0.013,5,40,5,1,piece-wise,41527,26189.42204969765,0.369,2.42,1.53,0.368,12293290.9,11532932.187437965,0.062,12293290.9,11532915.38,0.062
6,1,optimal,12.58,3,40,5,1,piece-wise,33980,38625.0,-0.137,2.51,2.86,-0.139,9757819.1,11572980.8,-0.186,9757819.1,11572917.8,-0.186
7,1,optimal_fw,0.016,3,40,5,1,piece-wise,33980,21477.031981284756,0.368,2.51,1.59,0.367,9757819.1,9094441.350008002,0.068,9757819.1,9094421.3,0.068
8,0,optimal,20.782,4,60,5,1,piece-wise,62542,62542.0,0.0,2.69,2.69,0.0,16672671.7,16672671.7,0.0,16672671.7,16672671.7,0.0
9,0,optimal_fw,0.008,4,60,5,1,piece-wise,62542,39251.0,0.372,2.69,1.69,0.372,16672671.7,15624863.23233803,0.063,16672671.7,15624860.63,0.063
10,1,optimal,19.814,5,60,5,1,piece-wise,61027,61027.0,0.0,2.25,2.25,0.0,20005464.4,20005464.4,0.0,20005464.4,20005464.4,0.0
11,1,optimal_fw,0.012,5,60,5,1,piece-wise,61027,38240.81995968836,0.373,2.25,1.41,0.373,20005464.4,18245644.294024393,0.088,20005464.4,18245640.85,0.088
12,0,optimal,27.029,16,80,5,1,piece-wise,74083,132688.0,-0.791,2.17,3.88,-0.788,26242630.8,62817646.6,-1.394,26242630.8,62815382.6,-1.394
13,0,optimal_fw,0.007,16,80,5,1,piece-wise,74083,47309.485993255934,0.361,2.17,1.38,0.364,26242630.8,23045983.27895839,0.122,26242630.8,23045964.23,0.122
14,1,optimal,28.388,6,80,5,1,piece-wise,70508,74638.0,-0.059,2.31,2.44,-0.056,22312801.6,25394029.0,-0.138,22312801.6,25393719.0,-0.138
15,1,optimal_fw,0.012,6,80,5,1,piece-wise,70508,44830.642416592986,0.364,2.31,1.47,0.364,22312801.6,20585461.44458978,0.077,22312801.6,20585449.03,0.077
16,0,optimal,34.234,11,100,5,1,piece-wise,70906,113080.0,-0.595,1.83,2.92,-0.596,28047994.4,51059679.3,-0.82,28047994.4,51057651.3,-0.82
17,0,optimal_fw,0.011,11,100,5,1,piece-wise,70906,45488.03369287623,0.358,1.83,1.17,0.361,28047994.4,26120835.856359676,0.069,28047994.4,26120834.09,0.069
18,1,optimal,34.013,6,100,5,1,piece-wise,87442,96355.0,-0.102,2.01,2.21,-0.1,31445992.0,34709940.6,-0.104,31445992.0,34709687.6,-0.104
19,1,optimal_fw,0.016,6,100,5,1,piece-wise,87442,55254.15667338401,0.368,2.01,1.27,0.368,31445992.0,29311755.826829273,0.068,31445992.0,29311742.79,0.068
