no_households,no_tasks,algorithm,penalty_weight,cost_function_type,repeat,Average run_time,No_iterations,max_demand initial,max_demand final,max_demand reduction,PAR initial,PAR final,PAR reduction,objective initial,objective final,objective reduction,cost initial,cost final,cost reduction
50,10,heuristic,10,piece-wise,0.5,0.040999999999999995,5.5,97667.5,181439.0,-1.2035,2.625,4.62,-1.2054999999999998,31622317.7,73831869.15,-1.187,31622317.7,73634869.15,-1.181
50,10,heuristic_fw,10,piece-wise,0.5,0.002,5.5,97667.5,57002.247794693794,0.40549999999999997,2.625,1.525,0.406,31622317.7,25687290.428227,0.1845,31622317.7,25682876.5,0.1845
100,10,heuristic,10,piece-wise,0.5,0.08,9.0,144655.5,313755.5,-1.498,1.96,4.37,-1.502,59991769.75,172187295.95,-1.799,59991769.75,171401645.95,-1.786
100,10,heuristic_fw,10,piece-wise,0.5,0.0015,9.0,144655.5,88818.66748014596,0.377,1.96,1.205,0.377,59991769.75,49735181.85524493,0.1685,59991769.75,49716356.195,0.1695
