no_households,no_tasks,algorithm,penalty_weight,cost_function_type,Average run_time,No_iterations,max_demand initial,max_demand final,max_demand reduction,PAR initial,PAR final,PAR reduction,objective initial,objective final,objective reduction,cost initial,cost final,cost reduction
100,10,heuristic,10,piece-wise,0.072,9,132177,270179.0,-1.044,1.76,3.6,-1.045,56674293.3,251396914.3,-3.436,56674293.3,250533114.3,-3.421
100,10,heuristic_fw,10,piece-wise,0.001,9,132177,91016.18456379221,0.311,1.76,1.21,0.312,56674293.3,50903475.914336,0.102,56674293.3,50894427.5,0.102
