,average_run_time,no_iterations,no_households,no_tasks,penalty_weight,cost_function_type,max_demand initial,max_demand final,max_demand reduction,PAR initial,PAR final,PAR reduction,objective initial,objective final,objective reduction,cost initial,cost final,cost reduction
optimal,855.082,25,5000,5,5,piece-wise,2366197,6676674.0,-1.822,1.18,3.33,-1.822,1742394088.6,64628657252.5,-36.092,1742394088.6,64626459152.5,-36.091
optimal_fw,0.007,25,5000,5,5,piece-wise,2366197,2032365.4885671467,0.141,1.18,1.02,0.136,1742394088.6,1536083211.7692916,0.118,1742394088.6,1536080141.62,0.118
heuristic,2.739,22,5000,5,5,piece-wise,2366197,8342582.0,-2.526,1.18,4.17,-2.534,1742394088.6,46991969232.9,-25.97,1742394088.6,46990094327.9,-25.969
heuristic_fw,0.008,22,5000,5,5,piece-wise,2366197,2047820.9376157518,0.135,1.18,1.02,0.136,1742394088.6,1536448186.7610557,0.118,1742394088.6,1536446813.29,0.118
