,Average run_time,No_iterations,no_tasks,penalty_weight,cost_function_type,max_demand initial,max_demand final,max_demand reduction,PAR initial,PAR final,PAR reduction,objective initial,objective final,objective reduction,cost initial,cost final,cost reduction
heuristic,0.086,9,10,10,piece-wise,125237,422408.0,-2.373,1.72,5.82,-2.384,58116991.1,278726517.2,-3.796,58116991.1,277866217.2,-3.781
heuristic_fw,0.001,9,10,10,piece-wise,125237,85226.41043327565,0.319,1.72,1.17,0.32,58116991.1,49379881.07751272,0.15,58116991.1,49368085.68,0.151
