,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
inconvenient,0.0,295770.5999999999,116854.3052,83270.09931800001,72227.04652387001,47259.77792995099,37425.08488554107,14818.924066259047,15282.091835271149,12785.496989812018,10913.259533112066,6338.054145135767,8464.34335025837,6814.184446294315,6814.184446294315
run_time,0.0,0.002490997314453125,0.0015909671783447266,0.0012500286102294922,0.001207113265991211,0.0008370876312255859,0.00115203857421875,0.0005319118499755859,0.0005059242248535156,0.0004968643188476562,0.0005559921264648438,0.0008831024169921875,0.0005102157592773438,0.0011539459228515625,0.0003921985626220703
max_demand,113959.0,101923.2113227216,96147.18703336072,92821.45717819844,89612.85185318203,87565.18591700346,85653.17603932534,84712.97110289276,83783.10842076094,82863.08922813257,81961.35224662311,81076.79437191025,80122.43683944733,78403.28485683705,78403.28485683705
PAR,1.55,1.38,1.3,1.26,1.22,1.19,1.16,1.15,1.14,1.12,1.11,1.1,1.09,1.06,1.06
objective,67951678.2,56818498.870000005,53351017.515200004,52227841.599318,51575009.72652387,51267590.097929955,51079076.86488554,50987579.05406626,50930158.20183527,50881248.24698981,50846664.15953311,50821088.35414513,50801771.45335026,50783062.6744463,50783062.6744463
cost,67951678.2,56522728.27,53234163.21,52144571.5,51502782.68,51220330.32,51041651.78,50972760.13,50914876.11,50868462.75,50835750.9,50814750.3,50793307.11,50776248.49,50776248.49
step_size,1.0,0.11099999999999997,0.057999999999999996,0.035,0.035,0.023,0.022,0.011,0.011,0.011,0.011,0.011,0.012,0.022,0.0
total_demand,3538311.0,3538311.000000001,3538311.0000000005,3538310.9999999995,3538311.0,3538310.999999999,3538310.9999999995,3538311.0,3538311.0000000005,3538310.9999999995,3538311.0000000005,3538311.0000000014,3538311.0,3538311.0,3538311.0
