,Average run_time,No_iterations,no_tasks,penalty_weight,cost_function_type,max_demand initial,max_demand final,max_demand reduction,PAR initial,PAR final,PAR reduction,objective initial,objective final,objective reduction,cost initial,cost final,cost reduction
heuristic,0.083,8,10,10,piece-wise,132793,348833.0,-1.627,1.81,4.74,-1.619,59921402.8,204253085.3,-2.409,59921402.8,203539885.3,-2.397
heuristic_fw,0.001,8,10,10,piece-wise,132793,87500.62874703412,0.341,1.81,1.19,0.343,59921402.8,49820314.549839035,0.169,59921402.8,49811300.67,0.169
