,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
objective,1636541560.4,1562865352.65,1516834723.7519999,1493867457.8486521,1477659722.8960965,1469855749.1270947,1466607372.7726061,1464789108.4019117,1463521571.8310065,1462284493.7750359,1461607242.2641747,1460822206.6401432,1460291708.5526497,1460128231.5307474,1459965756.8218987,1459688747.795058,1459528277.789075,1459148892.404931,1459000575.728055,1458852746.3792639,1458852746.3792639
max_demand,2529246.0,2401014.4052591543,2328811.3813635474,2241690.769802046,2184143.908214818,2155817.251234474,2140300.5594208143,2134194.0483722817,2129497.5774386553,2124809.396339765,2121204.995372406,2115026.5587727237,2113804.878213951,2112897.519335737,2110459.635848585,2109611.7122127363,2105277.201477952,2103869.446276474,2102325.6188301975,2100326.5414139354,2100326.5414139354
cost,1636541560.4,1536481124.65,1506255267.82,1482278703.63,1471304321.26,1467084972.75,1465138678.76,1463791214.26,1462480363.09,1461764986.61,1460974079.8,1460338459.29,1460167759.3,1460001702.48,1459727731.88,1459567770.82,1459187222.72,1459032260.46,1458891555.36,1458635228.42,1458635228.42
inconvenient,0.0,26384228.000000015,10579455.932000004,11588754.218652008,6355401.636096397,2770776.377094651,1468694.0126061484,997894.1419117571,1041208.7410066178,519507.16503597354,633162.4641748201,483747.3501433007,123949.2526498567,126529.05074735015,238024.9418985053,120976.9750581015,341055.0690748257,116631.94493092518,109020.36805506908,217517.95926388985,217517.95926388985
run_time,0.0,0.046105146408081055,0.02495408058166504,0.032624244689941406,0.02051544189453125,0.01273202896118164,0.007634639739990234,0.006947755813598633,0.005868434906005859,0.003918170928955078,0.005736827850341797,0.004781246185302734,0.0019485950469970703,0.0019915103912353516,0.002889871597290039,0.0019507408142089844,0.003893136978149414,0.0020394325256347656,0.0019974708557128906,0.002919912338256836,0.0009920597076416016
PAR,1.26,1.19,1.16,1.11,1.09,1.07,1.06,1.06,1.06,1.06,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.04,1.04
step_size,1.0,0.05200000000000003,0.03100000000000001,0.03900000000000003,0.027000000000000007,0.014000000000000002,0.009000000000000001,0.007,0.007,0.004,0.005,0.004,0.001,0.001,0.002,0.001,0.003,0.001,0.001,0.002,0.0
total_demand,96516518.0,96516517.99999999,96516517.99999999,96516518.0,96516518.00000001,96516518.0,96516518.0,96516517.99999999,96516517.99999997,96516517.99999997,96516518.00000001,96516517.99999997,96516517.99999997,96516517.99999997,96516518.00000003,96516517.99999999,96516517.99999999,96516518.00000001,96516518.00000001,96516518.0,96516518.0
