,0,1,2,3,4,5,6,7,8,9,10,11
objective,1665692020.6,1587890425.6,1541785028.5600002,1521144727.042,1511440648.36937,1507452521.0058055,1505525078.664171,1504340926.508515,1503615867.180683,1503308342.4057987,1503147953.2964242,1503147953.2964242
max_demand,2476025.0,2359923.414110195,2292754.9484678637,2247874.0251906514,2214984.977766976,2195664.5110861473,2184950.0193432933,2172165.2359243217,2167967.369435709,2163773.334763207,2161677.191428444,2161677.191428444
cost,1665692020.6,1566411025.6,1530818530.66,1515680647.0,1508891444.57,1506045903.84,1504846021.75,1503722476.85,1503427655.08,1503172908.83,1503059677.23,1503059677.23
inconvenient,0.0,21479400.00000001,10966497.900000008,5464080.042000001,2549203.7993700006,1406617.1658056702,679056.9141709717,618449.6585149742,188212.10068297005,135433.57579863406,88276.06642420137,88276.06642420137
run_time,0.0,0.04717206954956055,0.028897523880004883,0.019832611083984375,0.015034914016723633,0.009007453918457031,0.0051043033599853516,0.00592494010925293,0.003024578094482422,0.0030024051666259766,0.0020186901092529297,0.0010592937469482422
PAR,1.22,1.16,1.13,1.11,1.09,1.08,1.08,1.07,1.07,1.07,1.06,1.06
step_size,1.0,0.04800000000000003,0.02900000000000002,0.020000000000000007,0.015000000000000003,0.009000000000000001,0.005,0.006,0.002,0.002,0.001,0.0
total_demand,97470865.0,97470865.00000003,97470865.00000003,97470864.99999997,97470864.99999999,97470864.99999997,97470864.99999997,97470864.99999999,97470865.0,97470864.99999999,97470864.99999999,97470864.99999999
