,average_run_time,no_iterations,no_households,no_tasks,penalty_weight,cost_function_type,max_demand initial,max_demand final,max_demand reduction,PAR initial,PAR final,PAR reduction,objective initial,objective final,objective reduction,cost initial,cost final,cost reduction
optimal,846.62,24,5000,5,10,piece-wise,2526951,10045946.0,-2.976,1.25,4.99,-2.992,1609739339.7,70848757772.6,-43.013,1609739339.7,70844063762.6,-43.01
optimal_fw,0.008,24,5000,5,10,piece-wise,2526951,2099967.981159396,0.169,1.25,1.04,0.168,1609739339.7,1452517788.122113,0.098,1609739339.7,1452513181.79,0.098
heuristic,2.93,24,5000,5,10,piece-wise,2526951,16260313.0,-5.435,1.25,8.07,-5.456,1609739339.7,74736808661.1,-45.428,1609739339.7,74729857711.1,-45.424
heuristic_fw,0.008,24,5000,5,10,piece-wise,2526951,2118467.5123512372,0.162,1.25,1.05,0.16,1609739339.7,1452725962.8886533,0.098,1609739339.7,1452721594.74,0.098
