,repeat,algorithm,average_run_time,No_iterations,no_households,no_tasks,penalty_weight,cost_function_type,max_demand initial,max_demand final,max_demand reduction,PAR initial,PAR final,PAR reduction,objective initial,objective final,objective reduction,cost initial,cost final,cost reduction
0,0,heuristic,0.017,4,20,10,10,piece-wise,31484,43968.0,-0.397,2.78,3.88,-0.396,10084113.5,12509106.2,-0.24,10084113.5,12478306.2,-0.237
1,0,heuristic_fw,0.002,4,20,10,10,piece-wise,31484,18704.559722377388,0.406,2.78,1.65,0.406,10084113.5,7626221.68625,0.244,10084113.5,7624633.12,0.244
2,1,heuristic,0.015,4,20,10,10,piece-wise,46693,47893.0,-0.026,2.6,2.66,-0.023,15311076.8,15567667.4,-0.017,15311076.8,15547067.4,-0.015
3,1,heuristic_fw,0.003,4,20,10,10,piece-wise,46693,26655.456512857385,0.429,2.6,1.48,0.431,15311076.8,12108225.4843808,0.209,15311076.8,12107732.11,0.209
4,0,heuristic,0.034,5,40,10,10,piece-wise,68956,65799.0,0.046,2.4,2.29,0.046,22874826.5,23212792.3,-0.015,22874826.5,23170192.3,-0.013
5,0,heuristic_fw,0.002,5,40,10,10,piece-wise,68956,40422.123653328876,0.414,2.4,1.41,0.413,22874826.5,19343060.95782179,0.154,22874826.5,19342214.74,0.154
6,1,heuristic,0.036,3,40,10,10,piece-wise,85256,85256.0,0.0,3.05,3.05,0.0,21961044.1,21982144.1,-0.001,21961044.1,21961044.1,0.0
7,1,heuristic_fw,0.002,3,40,10,10,piece-wise,85256,47844.0,0.439,3.05,1.71,0.439,21961044.1,18829741.5218,0.143,21961044.1,18828021.41,0.143
8,0,heuristic,0.067,6,80,10,10,piece-wise,111927,314472.0,-1.81,2.06,5.79,-1.811,42578249.9,139756736.8,-2.282,42578249.9,139376036.8,-2.273
9,0,heuristic_fw,0.002,6,80,10,10,piece-wise,111927,73092.52225227613,0.347,2.06,1.35,0.345,42578249.9,36699034.90065049,0.138,42578249.9,36693884.73,0.138
10,1,heuristic,0.068,7,80,10,10,piece-wise,105553,326281.0,-2.091,1.82,5.61,-2.082,49710516.2,150438833.2,-2.026,49710516.2,149806033.2,-2.014
11,1,heuristic_fw,0.002,7,80,10,10,piece-wise,105553,69000.89299161326,0.346,1.82,1.19,0.346,49710516.2,39387642.22205793,0.208,49710516.2,39381148.02,0.208
12,0,heuristic,0.082,10,100,10,10,piece-wise,115992,596281.0,-4.141,1.6,8.24,-4.15,65745199.2,282046653.6,-3.29,65745199.2,280317853.6,-3.264
13,0,heuristic_fw,0.001,10,100,10,10,piece-wise,115992,81870.56895181136,0.294,1.6,1.13,0.294,65745199.2,49721640.53435395,0.244,65745199.2,49703323.97,0.244
14,1,heuristic,0.085,6,100,10,10,piece-wise,144513,146211.0,-0.012,2.05,2.07,-0.01,53965739.1,65470197.3,-0.213,53965739.1,65319097.3,-0.21
15,1,heuristic_fw,0.002,6,100,10,10,piece-wise,144513,88498.52564931303,0.388,2.05,1.25,0.39,53965739.1,47627444.63751308,0.117,53965739.1,47624244.09,0.118
