no_households,no_tasks,algorithm,penalty_weight,cost_function_type,Average run_time,No_iterations,max_demand initial,max_demand final,PAR initial,PAR final,objective initial,objective final,cost initial,cost final
20,5,heuristic,0,piece-wise,0.0,4.0,34338.0,39131.0,3.5300000000000002,4.125,7433606.5,6482931.0,7433606.5,6482931.0
20,5,heuristic_fw,0,piece-wise,0.002,4.0,34338.0,19468.711341926617,3.5300000000000002,2.005,7433606.5,6483643.495,7433606.5,6483643.495
20,5,optimal,0,piece-wise,1.9875,8.0,34338.0,205110.0,3.5300000000000002,21.505,7433606.5,6486431.0,7433606.5,6486431.0
20,5,optimal_fw,0,piece-wise,0.001,8.0,34338.0,25853.68802686967,3.5300000000000002,2.66,7433606.5,6529987.67,7433606.5,6529987.67
40,5,heuristic,0,piece-wise,0.001,5.0,47934.5,38866.0,2.9850000000000003,2.4,12204642.95,10839143.0,12204642.95,10839143.0
40,5,heuristic_fw,0,piece-wise,0.0015,5.0,47934.5,25588.475612529684,2.9850000000000003,1.595,12204642.95,10839360.99,12204642.95,10839360.99
40,5,optimal,0,piece-wise,3.745,8.5,47934.5,395199.5,2.9850000000000003,24.865000000000002,12204642.95,10844243.0,12204642.95,10844243.0
40,5,optimal_fw,0,piece-wise,0.001,8.5,47934.5,37512.55500691681,2.9850000000000003,2.35,12204642.95,10917997.145,12204642.95,10917997.145
60,5,heuristic,0,piece-wise,0.003,7.0,46007.0,66012.0,2.01,2.875,17474125.25,15418256.0,17474125.25,15418256.0
60,5,heuristic_fw,0,piece-wise,0.0015,7.0,46007.0,29060.867790950786,2.01,1.27,17474125.25,15448159.620000001,17474125.25,15448159.620000001
60,5,optimal,0,piece-wise,5.2115,9.5,46007.0,574428.0,2.01,25.045,17474125.25,15479090.0,17474125.25,15479090.0
60,5,optimal_fw,0,piece-wise,0.001,9.5,46007.0,37146.259142951516,2.01,1.62,17474125.25,15639742.97,17474125.25,15639742.97
