,Average run_time,No_iterations,no_tasks,penalty_weight,cost_function_type,max_demand initial,max_demand final,max_demand reduction,PAR initial,PAR final,PAR reduction,objective initial,objective final,objective reduction,cost initial,cost final,cost reduction
heuristic,0.033,5,10,10,piece-wise,86258,75934.0,0.12,2.3,2.03,0.117,29676773.9,28196460.9,0.05,29676773.9,28146760.9,0.052
heuristic_fw,0.002,5,10,10,piece-wise,86258,51001.438224018224,0.409,2.3,1.36,0.409,29676773.9,25252568.90027998,0.149,29676773.9,25251467.28,0.149
