,repeat,algorithm,average_run_time,no_iterations,no_households,no_tasks,penalty_weight,cost_function_type,max_demand initial,max_demand final,max_demand reduction,PAR initial,PAR final,PAR reduction,objective initial,objective final,objective reduction,cost initial,cost final,cost reduction
0,0,optimal,11.152,4,50,5,0,piece-wise,53370,263769.0,-3.942,2.47,12.2,-3.939,14748837.8,1606796406.0,-107.944,14748837.8,1606796406.0,-107.944
1,0,optimal_fw,0.02,4,50,5,0,piece-wise,53370,43619.96922727412,0.183,2.47,2.02,0.182,14748837.8,14562822.7,0.013,14748837.8,14562822.7,0.013
2,0,heuristic,0.047,2,50,5,0,piece-wise,53370,79789.0,-0.495,2.47,3.69,-0.494,14748837.8,79537801.4,-4.393,14748837.8,79537801.4,-4.393
3,0,heuristic_fw,0.031,2,50,5,0,piece-wise,53370,37781.09001,0.292,2.47,1.75,0.291,14748837.8,14526097.85,0.015,14748837.8,14526097.85,0.015
4,1,optimal,8.165,4,50,5,0,piece-wise,54913,279868.0,-4.097,2.57,13.11,-4.101,14461305.0,1391775652.4,-95.241,14461305.0,1391775652.4,-95.241
5,1,optimal_fw,0.012,4,50,5,0,piece-wise,54913,48130.26695111968,0.124,2.57,2.25,0.125,14461305.0,14390452.38,0.005,14461305.0,14390452.38,0.005
6,1,heuristic,0.048,4,50,5,0,piece-wise,54913,68150.0,-0.241,2.57,3.19,-0.241,14461305.0,20652547.9,-0.428,14461305.0,20652547.9,-0.428
7,1,heuristic_fw,0.011,4,50,5,0,piece-wise,54913,36415.1712751585,0.337,2.57,1.71,0.335,14461305.0,14350686.56,0.008,14461305.0,14350686.56,0.008
8,2,optimal,8.288,11,50,5,0,piece-wise,45430,224524.0,-3.942,2.56,12.66,-3.945,12025155.6,1168504616.0,-96.172,12025155.6,1168504616.0,-96.172
9,2,optimal_fw,0.01,11,50,5,0,piece-wise,45430,36961.187471566984,0.186,2.56,2.08,0.188,12025155.6,11950246.17,0.006,12025155.6,11950246.17,0.006
10,2,heuristic,0.048,5,50,5,0,piece-wise,45430,36511.0,0.196,2.56,2.06,0.195,12025155.6,11933491.8,0.008,12025155.6,11933491.8,0.008
11,2,heuristic_fw,0.012,5,50,5,0,piece-wise,45430,27799.99,0.388,2.56,1.57,0.387,12025155.6,11919936.03,0.009,12025155.6,11919936.03,0.009
12,3,optimal,8.323,6,50,5,0,piece-wise,48684,257314.0,-4.285,2.58,13.65,-4.291,12825874.3,1347061668.0,-104.027,12825874.3,1347061668.0,-104.027
13,3,optimal_fw,0.01,6,50,5,0,piece-wise,48684,40139.03167878034,0.176,2.58,2.13,0.174,12825874.3,12692306.79,0.01,12825874.3,12692306.79,0.01
14,3,heuristic,0.047,2,50,5,0,piece-wise,48684,48694.0,-0.0,2.58,2.58,0.0,12825874.3,12758620.1,0.005,12825874.3,12758620.1,0.005
15,3,heuristic_fw,0.021,2,50,5,0,piece-wise,48684,30400.01,0.376,2.58,1.61,0.376,12825874.3,12664449.45,0.013,12825874.3,12664449.45,0.013
16,4,optimal,8.481,13,50,5,0,piece-wise,41370,264097.0,-5.384,2.1,13.42,-5.39,13473440.1,1294889304.5,-95.107,13473440.1,1294889304.5,-95.107
17,4,optimal_fw,0.015,13,50,5,0,piece-wise,41370,33014.657514842744,0.202,2.1,1.68,0.2,13473440.1,13266330.23,0.015,13473440.1,13266330.23,0.015
18,4,heuristic,0.048,3,50,5,0,piece-wise,41370,58820.0,-0.422,2.1,2.99,-0.424,13473440.1,35230348.0,-1.615,13473440.1,35230348.0,-1.615
19,4,heuristic_fw,0.034,3,50,5,0,piece-wise,41370,30299.751014999092,0.268,2.1,1.54,0.267,13473440.1,13225042.88,0.018,13473440.1,13225042.88,0.018
20,0,optimal,15.85,3,50,5,1,piece-wise,62276,62276.0,0.0,3.21,3.21,0.0,13137234.2,13137234.2,0.0,13137234.2,13137234.2,0.0
21,0,optimal_fw,0.011,3,50,5,1,piece-wise,62276,46382.194331525716,0.255,3.21,2.39,0.255,13137234.2,13030348.747388428,0.008,13137234.2,13030345.07,0.008
22,0,heuristic,0.051,3,50,5,1,piece-wise,62276,62276.0,0.0,3.21,3.21,0.0,13137234.2,13137943.7,-0.0,13137234.2,13137882.7,-0.0
23,0,heuristic_fw,0.01,3,50,5,1,piece-wise,62276,47099.99,0.244,3.21,2.43,0.243,13137234.2,13029705.776104538,0.008,13137234.2,13029700.16,0.008
24,1,optimal,15.36,3,50,5,1,piece-wise,46318,46318.0,0.0,2.23,2.23,0.0,14113298.8,14113298.8,0.0,14113298.8,14113298.8,0.0
25,1,optimal_fw,0.023,3,50,5,1,piece-wise,46318,34605.984835822506,0.253,2.23,1.67,0.251,14113298.8,13950277.082531761,0.012,14113298.8,13950290.8,0.012
26,1,heuristic,0.048,3,50,5,1,piece-wise,46318,46318.0,0.0,2.23,2.23,0.0,14113298.8,14113367.8,-0.0,14113298.8,14113298.8,0.0
