,average_run_time,no_iterations,no_households,no_tasks,penalty_weight,cost_function_type,max_demand initial,max_demand final,max_demand reduction,PAR initial,PAR final,PAR reduction,objective initial,objective final,objective reduction,cost initial,cost final,cost reduction
optimal,16.143,3,50,5,50,piece-wise,51603,51603.0,0.0,2.4,2.4,0.0,14552595.8,14552595.8,0.0,14552595.8,14552595.8,0.0
optimal_fw,0.016,3,50,5,50,piece-wise,51603,38058.0,0.262,2.4,1.77,0.262,14552595.8,14454916.877781622,0.007,14552595.8,14454231.84,0.007
heuristic,0.049,4,50,5,50,piece-wise,51603,51603.0,0.0,2.4,2.4,0.0,14552595.8,14562419.2,-0.001,14552595.8,14555969.2,-0.0
heuristic_fw,0.011,4,50,5,50,piece-wise,51603,38628.788881702814,0.251,2.4,1.8,0.25,14552595.8,14458407.089692757,0.006,14552595.8,14458172.38,0.006
