,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
inconvenient,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
run_time,0.0,0.04194784164428711,0.014824151992797852,0.021863222122192383,0.009593009948730469,0.011622905731201172,0.006985902786254883,0.01324605941772461,0.006908893585205078,0.004829883575439453,0.006794929504394531,0.004949092864990234,0.0034461021423339844,0.0035552978515625,0.00486302375793457,0.005242109298706055,0.004602909088134766,0.0030291080474853516,0.00506901741027832,0.002891063690185547,0.003198862075805664,0.0022840499877929688,0.002526998519897461,0.0025568008422851562,0.0024127960205078125,0.0016739368438720703
total_demand,96346222.0,96346222.00000001,96346222.00000004,96346222.0,96346222.00000001,96346222.0,96346222.0,96346222.00000001,96346222.00000003,96346222.0,96346222.00000001,96346222.0,96346221.99999999,96346222.0,96346222.0,96346222.00000003,96346222.00000003,96346221.99999999,96346222.00000001,96346222.0,96346222.00000003,96346222.00000001,96346222.00000003,96346222.00000001,96346222.0,96346222.0
PAR,1.26,1.22,1.2,1.17,1.16,1.15,1.14,1.13,1.12,1.12,1.11,1.11,1.11,1.1,1.1,1.09,1.09,1.09,1.09,1.08,1.08,1.08,1.08,1.08,1.08,1.08
max_demand,2522050.0,2445027.945564879,2398988.154594322,2356171.4627453364,2330382.7780937464,2311804.836248344,2293374.998794398,2272075.8452324504,2256218.948465394,2247207.600962604,2235994.0125729577,2224836.380101457,2218168.543245456,2211520.689903181,2204892.7601840203,2196086.4096824788,2189504.736516574,2185127.9165482773,2180759.845843097,2176400.506911257,2172049.882297941,2169877.832415643,2167707.9545832276,2165540.2466286444,2163374.7063820157,2163374.7063820157
step_size,1.0,0.03100000000000002,0.01900000000000001,0.01800000000000001,0.011000000000000003,0.008,0.008,0.009325766030661337,0.007,0.004,0.005,0.005,0.003,0.003,0.003,0.004,0.003,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.0
cost,1608039700.3,1536539984.25,1506616542.48,1486002927.74,1475724407.79,1469950088.3,1465027547.26,1460657902.58,1457965800.08,1456517802.56,1454834539.56,1453103399.98,1452104207.22,1451477334.03,1450823830.51,1449826673.26,1449334442.24,1448955652.41,1448550309.43,1448213359.71,1447929986.05,1447803600.08,1447720474.35,1447618632.05,1447497414.77,1447497414.77
objective,1608039700.3,1536539984.25,1506616542.48,1486002927.74,1475724407.79,1469950088.3,1465027547.26,1460657902.58,1457965800.08,1456517802.56,1454834539.56,1453103399.98,1452104207.22,1451477334.03,1450823830.51,1449826673.26,1449334442.24,1448955652.41,1448550309.43,1448213359.71,1447929986.05,1447803600.08,1447720474.35,1447618632.05,1447497414.77,1447497414.77
