no_households,no_tasks,algorithm,penalty_weight,cost_function_type,Average run_time,No_iterations,max_demand initial,max_demand final,max_demand reduction,PAR initial,PAR final,PAR reduction,objective initial,objective final,objective reduction,cost initial,cost final,cost reduction
50,10,heuristic,10,piece-wise,0.042,6,81439,115638.0,-0.42,2.2,3.13,-0.423,30978315.9,43705204.9,-0.411,30978315.9,43587604.9,-0.407
50,10,heuristic_fw,10,piece-wise,0.002,6,81439,47933.093741757766,0.411,2.2,1.3,0.409,30978315.9,24906420.341810342,0.196,30978315.9,24904151.58,0.196
100,10,heuristic,10,piece-wise,0.118,5,165515,225878.0,-0.365,2.32,3.17,-0.366,56049796.4,86859207.3,-0.55,56049796.4,86706007.3,-0.547
100,10,heuristic_fw,10,piece-wise,0.002,5,165515,98804.30543999038,0.403,2.32,1.38,0.405,56049796.4,48086189.15396294,0.142,56049796.4,48081908.92,0.142
