,Average run_time,No_iterations,no_tasks,penalty_weight,cost_function_type,max_demand initial,max_demand final,max_demand reduction,PAR initial,PAR final,PAR reduction,objective initial,objective final,objective reduction,cost initial,cost final,cost reduction
optimal,3.25,4,5,1,piece-wise,33035,50383.0,-52.50%,2.69,4.1,-52.40%,9390442.4,8266919.0,12.00%,9390442.4,8266762.0,12.00%
optimal_fw,0.003,4,5,1,piece-wise,33035,21108.11590397895,36.10%,2.69,1.72,36.10%,9390442.4,8279307.3137744,11.80%,9390442.4,8279303.16,11.80%
heuristic,0.0,4,5,1,piece-wise,33035,35500.0,-7.50%,2.69,2.89,-7.40%,9390442.4,8266839.0,12.00%,9390442.4,8266762.0,12.00%
heuristic_fw,0.002,4,5,1,piece-wise,33035,20484.835906265707,38.00%,2.69,1.67,37.90%,9390442.4,8277399.694768146,11.90%,9390442.4,8277396.94,11.90%
