,Average run_time,No_iterations,no_households,no_tasks,penalty_weight,cost_function_type,max_demand initial,max_demand final,max_demand reduction,PAR initial,PAR final,PAR reduction,objective initial,objective final,objective reduction,cost initial,cost final,cost reduction
heuristic,0.076,9,100,10,10,piece-wise,116809,700557.0,-4.997,1.55,9.27,-4.981,66046842.7,261060127.8,-2.953,66046842.7,260142727.8,-2.939
heuristic_fw,0.001,9,100,10,10,piece-wise,116809,85970.017329915,0.264,1.55,1.14,0.265,66046842.7,52120250.80346762,0.211,66046842.7,52106045.05,0.211
