,0,1,2,3,4,5,6,7,8
total_demand,1825894.0,1825894.0,1825894.0,1825894.0,1825894.0,1825894.0,1825894.0,1825894.0,1825894.0
cost,32441799.6,60454225.4,86889864.5,87854821.7,84722266.5,82292666.1,95066137.4,85245426.1,105320228.5
inconvenient,0.0,318200.0,238500.0,232600.0,255100.0,218000.0,258800.0,218500.0,216800.0
PAR,2.12,3.82,4.36,5.1,3.89,4.24,4.36,3.87,4.93
objective,32441799.6,60772425.4,87128364.5,88087421.7,84977366.5,82510666.1,95324937.4,85463926.1,105537028.5
step_size,1.0,0.25100000000000006,0.12199999999999998,0.045,0.038,0.011,0.011,0.011,0.0
run_time,0.0,0.022000000000000013,0.026000000000000016,0.03900000000000003,0.03800000000000003,0.05000000000000004,0.04400000000000003,0.04100000000000003,0.023000000000000013
max_demand,80652.0,145176.0,166009.0,193873.0,148110.0,161389.0,165772.0,147172.0,187568.0
