,average_run_time_per_iteration,no_iterations,no_households,no_tasks,penalty_weight,cost_function_type,max_demand initial,max_demand final,max_demand reduction,PAR initial,PAR final,PAR reduction,objective initial,objective final,objective reduction,cost initial,cost final,cost reduction
heuristic,0.005,4,10,5,0,piece-wise,18020,22900.0,-0.271,4.41,5.61,-0.272,3345099.5,4110900.4,-0.229,3345099.5,4110900.4,-0.229
heuristic_fw,0.005,4,10,5,0,piece-wise,18020,9398.978157198148,0.478,4.41,2.3,0.478,3345099.5,2743851.89,0.18,3345099.5,2743851.89,0.18
