,repeat,algorithm,Average run_time,No_iterations,no_households,no_tasks,penalty_weight,cost_function_type,max_demand initial,max_demand final,max_demand reduction,PAR initial,PAR final,PAR reduction,objective initial,objective final,objective reduction,cost initial,cost final,cost reduction
0,0,heuristic,0.089,8,50,10,10,piece-wise,80052,131072.0,-0.637,2.08,3.4,-0.635,33871294.5,66534690.0,-0.964,33871294.5,66390990.0,-0.96
1,0,heuristic_fw,0.003,8,50,10,10,piece-wise,80052,48006.88454980768,0.4,2.08,1.25,0.399,33871294.5,26031643.405535437,0.231,33871294.5,26029027.43,0.232
