,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
0,21576,24620,10685,24980,17506,23250,12940,10328,11837,16965,10465,9253,2111,8813,22112,13125,16324,33319,22659,21265,12747,42788,35307,29390,47158,57626,23841,18611,24179,27008,38300,26343,22112,33720,27981,40450,39629,33226,35580,25506,10632,16145,10626,25834,38419,37395,29234,22520
1,9456,22664,13185,36674,18820,22420,16911,11960,11885,12635,8515,11853,14991,15913,18112,25125,24189,36784,28351,29500,15147,0,32969,47809,0,0,68793,58481,51149,38383,22,38423,39345,44899,46171,4,0,67283,29932,16871,10704,19059,35576,38543,0,0,50014,26920
2,9326,22220,11305,30230,18076,21940,17710,18053,16356,12779,7459,11753,13991,12813,15912,14015,17449,36224,33261,20825,16603,37532,43879,61306,72474,2,20533,23662,25064,30359,42017,23353,10597,0,35221,60255,54924,0,27560,29766,21452,16217,10740,21834,26329,36570,35784,20710
3,9326,25076,15950,28175,14676,22504,13300,10688,15561,16435,8065,9463,2621,9034,17112,13125,21189,35156,19811,43257,46173,65840,75717,0,11,26,55242,41455,31919,26668,34019,21243,14112,27495,30626,43690,46324,0,30660,23276,15452,16145,10596,29034,37129,36570,35784,20710
4,9998,43364,11585,24530,14676,23940,14504,10848,16021,18935,11715,10753,3557,12926,21142,13125,20189,40324,32551,41165,31841,29606,0,35600,57819,53626,21441,18251,29119,29308,34219,21045,22466,35805,28636,40218,39485,23951,21270,14706,10632,16145,11336,23694,27189,36690,35784,20710
5,9326,22220,11305,26850,33076,21940,14140,13928,11621,12899,11419,11933,6961,29013,31912,13425,16189,31804,32423,25019,34565,39317,2400,15728,11,73977,43596,28751,38519,35048,35619,23243,17862,27705,29881,40368,39575,23656,21475,14841,17632,16645,12096,27134,26329,36570,35784,20710
6,10526,25820,10385,28322,16020,22340,12940,10328,11621,12755,7951,21825,14956,16178,19912,19725,28789,32154,32281,31485,15603,25832,42223,56090,75358,26,20901,23391,24719,25368,34629,19903,10352,25565,28636,42618,51285,31837,21225,18841,16677,16175,11016,22464,26329,36570,35784,20710
7,11726,24620,9185,26396,20148,26340,12940,11828,13541,13675,7490,7903,2462,12469,22692,25509,24200,44404,30681,20785,12603,25388,43807,47290,64458,26,41641,26201,27219,25688,36179,19343,10502,25540,38316,48098,40085,23626,21180,14856,19032,22545,12996,29034,28729,36570,35784,20710
8,9326,22292,31301,26500,15546,33940,20940,17258,23021,17035,12730,9885,1991,9257,15112,13125,16189,31984,28051,30085,13893,25828,41907,47906,62858,26,22341,29351,24719,27748,44549,24073,14512,25405,27516,40388,39620,25561,25540,27186,14752,16280,10686,21834,26329,43570,35784,20710
