no_households,no_tasks,algorithm,penalty_weight,cost_function_type,repeat,Average run_time,No_iterations,max_demand initial,max_demand final,max_demand reduction,PAR initial,PAR final,PAR reduction,objective initial,objective final,objective reduction,cost initial,cost final,cost reduction
100,10,heuristic,10,piece-wise,0,0.077,9,123633,726082.0,-4.873,1.79,10.51,-4.872,56168404.9,273191644.3,-3.864,56168404.9,271855444.3,-3.84
100,10,heuristic_fw,10,piece-wise,0,0.001,9,123633,84629.57797878687,0.315,1.79,1.22,0.318,56168404.9,47033937.70687893,0.163,56168404.9,47021041.95,0.163
