,Average run_time,No_iterations,no_households,no_tasks,penalty_weight,cost_function_type,max_demand initial,max_demand final,max_demand reduction,PAR initial,PAR final,PAR reduction,objective initial,objective final,objective reduction,cost initial,cost final,cost reduction
heuristic,0.072,8,100,10,10,piece-wise,107665,503491.0,-3.676,1.6,7.5,-3.688,54888656.9,308030730.6,-4.612,54888656.9,306983430.6,-4.593
heuristic_fw,0.001,8,100,10,10,piece-wise,107665,78447.78980078467,0.271,1.6,1.17,0.269,54888656.9,45961115.99115731,0.163,54888656.9,45951914.77,0.163
