,Average run_time,No_iterations,no_tasks,penalty_weight,cost_function_type,max_demand initial,max_demand final,max_demand reduction,PAR initial,PAR final,PAR reduction,objective initial,objective final,objective reduction,cost initial,cost final,cost reduction
heuristic,0.045,5,10,10,piece-wise,85063,111416.0,-0.31,2.55,3.34,-0.31,26416245.5,39746902.9,-0.505,26416245.5,39674202.9,-0.502
heuristic_fw,0.002,5,10,10,piece-wise,85063,49266.19662491616,0.421,2.55,1.48,0.42,26416245.5,22463280.756600186,0.15,26416245.5,22458706.43,0.15
