,Average run_time,No_iterations,no_households,no_tasks,penalty_weight,cost_function_type,max_demand initial,max_demand final,max_demand reduction,PAR initial,PAR final,PAR reduction,objective initial,objective final,objective reduction,cost initial,cost final,cost reduction
heuristic,0.071,9,100,10,10,piece-wise,122288,456097.0,-2.73,1.74,6.49,-2.73,59691451.5,256693452.1,-3.3,59691451.5,255339352.1,-3.278
heuristic_fw,0.001,9,100,10,10,piece-wise,122288,82059.9349334983,0.329,1.74,1.17,0.328,59691451.5,47802238.49301422,0.199,59691451.5,47791692.85,0.199
