no_households,no_tasks,algorithm,penalty_weight,cost_function_type,repeat,average_run_time_per_iteration,no_iterations,max_demand initial,max_demand final,max_demand reduction,PAR initial,PAR final,PAR reduction,objective initial,objective final,objective reduction,cost initial,cost final,cost reduction
10,5,heuristic,0,piece-wise,0.5,0.01,4.0,16934.0,21940.5,-0.403,4.07,5.32,-0.4015,3218122.7,5767755.35,-0.8089999999999999,3218122.7,5767755.35,-0.8089999999999999
10,5,heuristic,1,piece-wise,0.5,0.0115,5.5,18460.0,18460.0,0.0,5.285,5.285,0.0,2721809.9,2722672.4,-0.0005,2721809.9,2722653.9,-0.0005
10,5,heuristic,5,piece-wise,0.5,0.008,3.0,12612.0,12612.0,0.0,4.12,4.12,0.0,2401547.25,2401597.25,0.0,2401547.25,2401547.25,0.0
10,5,heuristic,10,piece-wise,0.5,0.0075,3.0,16630.0,16630.0,0.0,4.86,4.86,0.0,2889665.3,2889760.3,0.0,2889665.3,2889665.3,0.0
10,5,heuristic,50,piece-wise,0.5,0.0075,3.0,27918.0,27918.0,0.0,6.625,6.625,0.0,3354677.3,3354902.3,0.0,3354677.3,3354677.3,0.0
10,5,heuristic,100,piece-wise,0.5,0.006,3.5,22824.0,22824.0,0.0,6.65,6.65,0.0,2758989.5,2799031.5,-0.013999999999999999,2758989.5,2793981.5,-0.012
10,5,heuristic,500,piece-wise,0.5,0.0085,3.0,17050.0,18862.0,-0.045,4.585,4.765000000000001,-0.0445,2866030.6,3370640.2,-0.11600000000000002,2866030.6,3309140.2,-0.091
10,5,heuristic,1000,piece-wise,0.5,0.0075,3.5,20737.5,21596.0,-0.036000000000000004,5.140000000000001,5.35,-0.0375,3061142.7,3283189.5,-0.0695,3061142.7,3242689.5,-0.056
10,5,heuristic,5000,piece-wise,0.5,0.006,3.0,22993.5,21810.0,0.01150000000000001,4.63,4.495,0.01050000000000001,3729651.0,4338269.949999999,-0.18150000000000002,3729651.0,3825769.95,-0.044000000000000004
10,5,heuristic_fw,0,piece-wise,0.5,0.020999999999999998,4.0,16934.0,9070.736965363561,0.4535,4.07,2.1799999999999997,0.45499999999999996,3218122.7,2771428.5949999997,0.1395,3218122.7,2771428.5949999997,0.1395
10,5,heuristic_fw,1,piece-wise,0.5,0.01,5.5,18460.0,11460.238992324772,0.3785,5.285,3.285,0.3795,2721809.9,2395576.957782478,0.1215,2721809.9,2395574.91,0.1215
10,5,heuristic_fw,5,piece-wise,0.5,0.01,3.0,12612.0,7635.0438550543195,0.395,4.12,2.49,0.3955,2401547.25,2049456.3228625,0.138,2401547.25,2049526.5100000002,0.138
10,5,heuristic_fw,10,piece-wise,0.5,0.005,3.0,16630.0,9868.03255752609,0.4105,4.86,2.855,0.41000000000000003,2889665.3,2343527.3045799998,0.17300000000000001,2889665.3,2343456.85,0.17300000000000001
10,5,heuristic_fw,50,piece-wise,0.5,0.004,3.0,27918.0,17391.55645239685,0.3805,6.625,4.105,0.3795,3354677.3,2887214.5758350003,0.14150000000000001,3354677.3,2885238.04,0.14250000000000002
