,repeat,algorithm,average_run_time_per_iteration,no_iterations,no_households,no_tasks,penalty_weight,cost_function_type,max_demand initial,max_demand final,max_demand reduction,PAR initial,PAR final,PAR reduction,objective initial,objective final,objective reduction,cost initial,cost final,cost reduction
30,1,heuristic,0.007,3,10,5,10,piece-wise,18800,18800.0,0.0,4.44,4.44,0.0,3698658.6,3698698.6,-0.0,3698658.6,3698658.6,0.0
31,1,heuristic_fw,0.007,3,10,5,10,piece-wise,18800,11641.848869149493,0.381,4.44,2.75,0.381,3698658.6,2847228.96536,0.23,3698658.6,2847244.46,0.23
32,0,optimal,3.267,3,10,5,50,piece-wise,19836,19836.0,0.0,6.97,6.97,0.0,2251196.6,2251196.6,0.0,2251196.6,2251196.6,0.0
33,0,optimal_fw,0.003,3,10,5,50,piece-wise,19836,12068.1348587754,0.392,6.97,4.24,0.392,2251196.6,1913001.7612,0.15,2251196.6,1913009.27,0.15
34,0,heuristic,0.007,2,10,5,50,piece-wise,19836,19836.0,0.0,6.97,6.97,0.0,2251196.6,2251646.6,-0.0,2251196.6,2251196.6,0.0
35,0,heuristic_fw,0.004,2,10,5,50,piece-wise,19836,12088.834498259708,0.391,6.97,4.25,0.39,2251196.6,1916971.34,0.148,2251196.6,1913018.79,0.15
36,1,optimal,3.247,3,10,5,50,piece-wise,36000,36000.0,0.0,6.28,6.28,0.0,4458158.0,4458158.0,0.0,4458158.0,4458158.0,0.0
37,1,optimal_fw,0.003,3,10,5,50,piece-wise,36000,22697.738832110477,0.37,6.28,3.96,0.369,4458158.0,3858157.5393999997,0.135,4458158.0,3858119.01,0.135
38,1,heuristic,0.008,4,10,5,50,piece-wise,36000,36000.0,0.0,6.28,6.28,0.0,4458158.0,4458158.0,0.0,4458158.0,4458158.0,0.0
39,1,heuristic_fw,0.004,4,10,5,50,piece-wise,36000,22694.278406533987,0.37,6.28,3.96,0.369,4458158.0,3857457.81167,0.135,4458158.0,3857457.29,0.135
40,0,optimal,3.728,4,10,5,100,piece-wise,25062,25062.0,0.0,7.76,7.76,0.0,2585136.4,2585136.4,0.0,2585136.4,2585136.4,0.0
41,0,optimal_fw,0.002,4,10,5,100,piece-wise,25062,15785.860199401273,0.37,7.76,4.89,0.37,2585136.4,2174244.6802,0.159,2585136.4,2174212.0,0.159
42,0,heuristic,0.007,4,10,5,100,piece-wise,25062,25062.0,0.0,7.76,7.76,0.0,2585136.4,2590136.4,-0.002,2585136.4,2585136.4,0.0
43,0,heuristic_fw,0.003,4,10,5,100,piece-wise,25062,15504.940143662174,0.381,7.76,4.8,0.381,2585136.4,2175325.0514208,0.159,2585136.4,2173193.91,0.159
44,1,optimal,3.13,4,10,5,100,piece-wise,20586,20586.0,0.0,5.54,5.54,0.0,2932842.6,2932842.6,0.0,2932842.6,2932842.6,0.0
45,1,optimal_fw,0.005,4,10,5,100,piece-wise,20586,12651.499567285293,0.385,5.54,3.4,0.386,2932842.6,2500358.414257,0.147,2932842.6,2500163.93,0.148
46,1,heuristic,0.005,3,10,5,100,piece-wise,20586,20586.0,0.0,5.54,5.54,0.0,2932842.6,3007926.6,-0.026,2932842.6,3002826.6,-0.024
47,1,heuristic_fw,0.006,3,10,5,100,piece-wise,20586,13235.055372548095,0.357,5.54,3.56,0.357,2932842.6,2500885.7175000003,0.147,2932842.6,2500780.97,0.147
48,0,optimal,3.933,3,10,5,500,piece-wise,11400,11400.0,0.0,4.71,4.71,0.0,1820821.2,1820821.2,0.0,1820821.2,1820821.2,0.0
49,0,optimal_fw,0.004,3,10,5,500,piece-wise,11400,7012.0,0.385,4.71,2.9,0.384,1820821.2,1628867.22,0.105,1820821.2,1629222.54,0.105
50,0,heuristic,0.009,3,10,5,500,piece-wise,11400,9804.0,0.14,4.71,4.05,0.14,1820821.2,1731903.4,0.049,1820821.2,1668403.4,0.084
51,0,heuristic_fw,0.002,3,10,5,500,piece-wise,11400,8677.933473197687,0.239,4.71,3.58,0.24,1820821.2,1634081.412,0.103,1820821.2,1633954.83,0.103
52,1,optimal,3.318,4,10,5,500,piece-wise,22700,22700.0,0.0,4.46,4.46,0.0,3911240.0,3911240.0,0.0,3911240.0,3911240.0,0.0
53,1,optimal_fw,0.003,4,10,5,500,piece-wise,22700,14165.55381301747,0.376,4.46,2.78,0.377,3911240.0,3428143.952964,0.124,3911240.0,3427021.0,0.124
54,1,heuristic,0.008,3,10,5,500,piece-wise,22700,27920.0,-0.23,4.46,5.48,-0.229,3911240.0,5009377.0,-0.281,3911240.0,4949877.0,-0.266
55,1,heuristic_fw,0.004,3,10,5,500,piece-wise,22700,15163.842238917692,0.332,4.46,2.98,0.332,3911240.0,3430265.774,0.123,3911240.0,3427451.79,0.124
