no_households,no_tasks,algorithm,penalty_weight,cost_function_type,repeat,average_run_time_per_iteration,no_iterations,max_demand initial,max_demand final,max_demand reduction,PAR initial,PAR final,PAR reduction,objective initial,objective final,objective reduction,cost initial,cost final,cost reduction
10,5,heuristic,0,piece-wise,0,0.008,3,23000,13200.0,0.426,6.97,4.0,0.426,2602004.0,2216981.2,0.148,2602004.0,2216981.2,0.148
10,5,heuristic,1,piece-wise,0,0.006,4,22590,22590.0,0.0,5.47,5.47,0.0,3478252.0,3478276.0,0.0,3478252.0,3478267.0,0.0
10,5,heuristic,10,piece-wise,0,0.007,2,14747,14747.0,0.0,3.93,3.93,0.0,2802030.6,2802690.6,0.0,2802030.6,2802030.6,0.0
10,5,heuristic,100,piece-wise,0,0.006,3,12352,18656.0,-0.51,4.01,6.06,-0.511,2462660.0,4100545.4,-0.665,2462660.0,4086445.4,-0.659
10,5,heuristic,1000,piece-wise,0,0.005,3,20534,20534.0,0.0,4.63,4.63,0.0,3358183.6,3351427.1,0.002,3358183.6,3327427.1,0.009
10,5,heuristic_fw,0,piece-wise,0,0.002,3,23000,11780.134678242803,0.488,6.97,3.57,0.488,2602004.0,2216572.01,0.148,2602004.0,2216572.01,0.148
10,5,heuristic_fw,1,piece-wise,0,0.005,4,22590,14196.039264800673,0.372,5.47,3.44,0.371,3478252.0,2775396.2857472836,0.202,3478252.0,2775387.05,0.202
10,5,heuristic_fw,10,piece-wise,0,0.009,2,14747,9248.778206674202,0.373,3.93,2.46,0.374,2802030.6,2527276.17,0.098,2802030.6,2525664.82,0.099
10,5,heuristic_fw,100,piece-wise,0,0.009,3,12352,8150.195030355518,0.34,4.01,2.65,0.339,2462660.0,2072024.584,0.159,2462660.0,2072274.94,0.159
10,5,heuristic_fw,1000,piece-wise,0,0.003,3,20534,13593.915619241408,0.338,4.63,3.07,0.337,3358183.6,2985450.858,0.111,3358183.6,2984487.82,0.111
