,max_demand,total_demand,PAR,objective,cost,inconvenient,step_size,rescheduling_time,pricing_time
0,523539.0,18264988.0,0.73,286061829.3,286061829.3,0.0,1.0,0.0,0.0
1,517780.071,18264988.0,0.73,282297610.422,282289649.15,7961.272,0.011,0.2741664930000276,0.0011620521545410156
2,512084.49021899997,18264988.0,0.74,278747938.07900804,278739194.16,8743.919007999999,0.011,0.27363651500005304,0.0005879402160644531
3,506451.560826591,18264988.0,0.75,276117435.2008909,276108875.0,8560.200890912,0.011,0.27448279800003306,0.0006229877471923828
4,500880.5936574985,18264987.999999996,0.76,273773313.5577902,273761980.81,11332.747790199968,0.011,0.27251808300003333,0.0005812644958496094
5,495370.907127266,18264988.000000004,0.77,271801666.4167743,271792073.71,9592.7067743078,0.011,0.2733133300000077,0.0005810260772705078
6,489426.4562417388,18264988.0,0.78,270090772.8515187,270084191.88,6580.971518708307,0.012,0.2756237230000913,0.0005848407745361328
7,478718.29480562586,18264987.999999996,0.79,267693391.19862658,267683003.26,10387.938626588417,0.022,0.2741388039999819,0.0008242130279541016
8,468244.41723357356,18264987.999999996,0.81,266124844.4053502,266116066.14,8778.265350215053,0.022,0.273315520000061,0.0008258819580078125
9,463093.72864400427,18264988.0,0.82,265344236.83408114,265340562.32,3674.514081147634,0.011,0.27381830599999546,0.0006029605865478516
10,457999.6976289202,18264987.999999993,0.83,264740361.33534512,264736470.96,3890.375345107376,0.011,0.2729442769999366,0.0006051063537597656
11,457999.6976289202,18264987.999999993,0.83,264740361.33534512,264736470.96,3890.375345107376,0.0,0.2896934859999831,0.0003571510314941406
