,Average run_time,No_iterations,no_tasks,penalty_weight,cost_function_type,max_demand initial,max_demand final,max_demand reduction,PAR initial,PAR final,PAR reduction,objective initial,objective final,objective reduction,cost initial,cost final,cost reduction
heuristic,0.043,5,10,10,piece-wise,71923,191854.0,-1.667,1.93,5.14,-1.663,32755123.2,93098286.8,-1.842,32755123.2,92796286.8,-1.833
heuristic_fw,0.002,5,10,10,piece-wise,71923,45316.365512799595,0.37,1.93,1.21,0.373,32755123.2,25229291.92961577,0.23,32755123.2,25219421.48,0.23
