no_households,no_tasks,algorithm,penalty_weight,cost_function_type,repeat,average_run_time_per_iteration,no_iterations,max_demand initial,max_demand final,max_demand reduction,PAR initial,PAR final,PAR reduction,objective initial,objective final,objective reduction,cost initial,cost final,cost reduction
20,5,heuristic,1,piece-wise,0,0.019,4,23424,23424.0,0.0,3.46,3.46,0.0,5181377.6,5181394.6,0.0,5181377.6,5181377.6,0.0
20,5,heuristic_fw,1,piece-wise,0,0.004,4,23424,14075.0,0.399,3.46,2.08,0.399,5181377.6,4549387.559904,0.122,5181377.6,4549383.02,0.122
20,5,optimal,1,piece-wise,0,6.845,2,23424,23424.0,0.0,3.46,3.46,0.0,5181377.6,5181377.6,0.0,5181377.6,5181377.6,0.0
20,5,optimal_fw,1,piece-wise,0,0.006,2,23424,14620.825155861176,0.376,3.46,2.16,0.376,5181377.6,4549707.37,0.122,5181377.6,4549461.67,0.122
40,5,heuristic,1,piece-wise,0,0.039,4,54064,54064.0,0.0,2.73,2.73,0.0,14446316.0,14446383.0,0.0,14446316.0,14446316.0,0.0
40,5,heuristic_fw,1,piece-wise,0,0.004,4,54064,33835.174283403474,0.374,2.73,1.71,0.374,14446316.0,13348431.24552,0.076,14446316.0,13348424.58,0.076
40,5,optimal,1,piece-wise,0,12.402,4,54064,54064.0,0.0,2.73,2.73,0.0,14446316.0,14446316.0,0.0,14446316.0,14446316.0,0.0
40,5,optimal_fw,1,piece-wise,0,0.004,4,54064,33705.68102628924,0.377,2.73,1.7,0.377,14446316.0,13347384.1522,0.076,14446316.0,13347378.58,0.076
60,5,heuristic,1,piece-wise,0,0.058,5,65818,65818.0,0.0,2.68,2.68,0.0,18175496.0,18176630.0,0.0,18175496.0,18176551.0,0.0
60,5,heuristic_fw,1,piece-wise,0,0.003,5,65818,41327.72892383006,0.372,2.68,1.68,0.373,18175496.0,16512910.72129,0.091,18175496.0,16512896.35,0.091
60,5,optimal,1,piece-wise,0,19.676,5,65818,65818.0,0.0,2.68,2.68,0.0,18175496.0,18175496.0,0.0,18175496.0,18175496.0,0.0
60,5,optimal_fw,1,piece-wise,0,0.003,5,65818,41403.42674626247,0.371,2.68,1.69,0.369,18175496.0,16513035.9835008,0.091,18175496.0,16513024.61,0.091
80,5,heuristic,1,piece-wise,0,0.083,6,72503,107422.0,-0.482,2.19,3.25,-0.484,23924230.6,37316827.2,-0.56,23924230.6,37315875.2,-0.56
80,5,heuristic_fw,1,piece-wise,0,0.003,6,72503,46223.818322069084,0.362,2.19,1.4,0.361,23924230.6,22255161.234777648,0.07,23924230.6,22255129.1,0.07
80,5,optimal,1,piece-wise,0,38.72,6,72503,80890.0,-0.116,2.19,2.45,-0.119,23924230.6,28993192.2,-0.212,23924230.6,28992749.2,-0.212
80,5,optimal_fw,1,piece-wise,0,0.003,6,72503,46226.634270912815,0.362,2.19,1.4,0.361,23924230.6,22257339.94184868,0.07,23924230.6,22257300.69,0.07
100,5,heuristic,1,piece-wise,0,0.101,6,81557,81557.0,0.0,2.08,2.08,0.0,28808290.4,28808481.4,0.0,28808290.4,28808290.4,0.0
100,5,heuristic_fw,1,piece-wise,0,0.003,6,81557,51373.86372158914,0.37,2.08,1.31,0.37,28808290.4,26377156.458429422,0.084,28808290.4,26377142.07,0.084
100,5,optimal,1,piece-wise,0,33.622,6,81557,90471.0,-0.109,2.08,2.31,-0.111,28808290.4,31460401.1,-0.092,28808290.4,31460012.1,-0.092
100,5,optimal_fw,1,piece-wise,0,0.003,6,81557,51588.87361381335,0.367,2.08,1.32,0.365,28808290.4,26370380.16054063,0.085,28808290.4,26370339.14,0.085
