,average_run_time,No_iterations,no_households,no_tasks,penalty_weight,cost_function_type,max_demand initial,max_demand final,max_demand reduction,PAR initial,PAR final,PAR reduction,objective initial,objective final,objective reduction,cost initial,cost final,cost reduction
heuristic,0.102,10,150,10,10,piece-wise,168104,614351.0,-2.655,1.52,5.54,-2.645,95520558.3,421577076.1,-3.413,95520558.3,420107776.1,-3.398
heuristic_fw,0.001,10,150,10,10,piece-wise,168104,128269.7833982738,0.237,1.52,1.16,0.237,95520558.3,76976297.63559708,0.194,95520558.3,76958359.92,0.194
