,0,1,2
cost,1792502.0,1794666.0,1792502.0
run_time,0.0,0.95,0.95
PAR,8.12,8.12,8.12
max_demand,18000.0,18010.0,18000.0
objective,1792502.0,1806666.0,1792502.0
inconvenient,0.0,12000.0,0.0
step_size,1.0,0.4610000000000002,0.0
total_demand,106438.0,106438.0,106438.0
