,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
0,14.4,14.6,24.5,17.8,14.6,14.0,14.0,14.0,14.0,14.3,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.6,31.3,14.0,14.8,15.8,14.1,14.3,14.0,14.0,17.8,18.9,14.0,14.0,15.8,230.4,31.3,14.0,14.0,15.4,61.6,115.5,14.5,14.0,14.0,14.0,31.3,14.4,14.0,14.1,14.8,230.4
1,14.2,15.8,14.6,14.3,17.8,14.0,14.0,14.0,14.0,14.3,14.0,14.0,14.0,14.0,14.0,14.0,14.0,15.4,14.8,14.3,20.3,14.1,14.3,14.6,14.3,14.5,14.3,14.3,14.3,14.8,14.2,24.5,14.8,14.2,17.0,14.2,15.8,17.8,22.1,15.8,14.0,14.0,14.8,14.6,14.8,15.8,27.5,36.3
2,14.0,14.8,15.4,14.8,15.4,14.0,14.0,14.0,14.0,14.3,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.8,15.8,14.4,16.3,14.3,14.3,14.6,14.3,14.5,14.4,14.5,14.2,15.4,14.4,17.8,15.8,14.5,15.4,14.5,14.8,15.4,17.0,14.8,14.0,14.2,15.8,15.8,18.9,14.8,18.9,22.1
3,14.0,15.4,14.8,14.6,14.8,14.0,14.0,14.0,14.0,14.3,14.0,14.0,14.0,14.0,14.0,14.0,14.0,15.4,15.4,14.3,15.4,14.5,14.4,14.6,14.3,14.4,14.5,14.6,14.3,14.8,14.6,15.8,15.4,14.4,14.6,15.8,17.0,14.8,15.8,15.4,14.0,15.1,14.8,14.8,17.0,15.4,17.0,17.8
4,14.0,15.1,15.1,14.8,14.8,14.0,14.0,14.0,14.0,14.3,14.0,14.0,14.0,14.0,14.0,14.0,14.0,15.1,14.8,14.3,15.1,14.6,14.5,14.6,14.3,14.4,14.5,14.6,14.3,14.8,14.6,15.4,15.1,14.5,15.1,15.8,15.8,14.8,15.4,15.4,14.0,14.8,15.4,15.4,15.8,15.1,15.8,17.0
5,14.0,14.8,14.8,14.8,14.8,14.0,14.0,14.0,14.0,14.3,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.8,15.1,14.3,14.8,14.6,14.5,14.6,14.3,14.4,14.5,14.6,14.3,15.1,14.8,15.4,14.8,14.5,15.1,15.4,15.8,14.8,15.4,15.1,14.0,15.4,15.4,15.4,15.8,14.8,15.8,17.0
6,14.0,14.8,14.8,14.8,14.8,14.0,14.0,14.0,14.0,14.3,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.8,15.1,14.3,14.8,14.6,14.5,14.6,14.3,14.4,14.5,14.6,14.3,15.1,14.8,15.4,14.8,14.5,15.1,15.4,15.8,14.8,15.4,15.1,14.0,15.4,15.4,15.4,15.8,14.8,15.8,17.0
