,Average run_time,No_iterations,no_tasks,penalty_weight,cost_function_type,max_demand initial,max_demand final,max_demand reduction,PAR initial,PAR final,PAR reduction,objective initial,objective final,objective reduction,cost initial,cost final,cost reduction
optimal,8.796,5,5,1,piece-wise,39350,58950.0,-49.80%,2.45,3.67,-49.80%,11858931.2,10797805.0,8.90%,11858931.2,10797434.0,9.00%
optimal_fw,0.001,5,5,1,piece-wise,39350,25249.955251140207,35.80%,2.45,1.57,35.90%,11858931.2,10822627.692436893,8.70%,11858931.2,10822586.08,8.70%
heuristic,0.001,7,5,1,piece-wise,39350,51224.0,-30.20%,2.45,3.19,-30.20%,11858931.2,10797893.0,8.90%,11858931.2,10797430.0,9.00%
heuristic_fw,0.001,7,5,1,piece-wise,39350,25712.567698172028,34.70%,2.45,1.6,34.70%,11858931.2,10822746.36679292,8.70%,11858931.2,10822742.38,8.70%
