,Average run_time,No_iterations,no_households,no_tasks,penalty_weight,cost_function_type,max_demand initial,max_demand final,max_demand reduction,PAR initial,PAR final,PAR reduction,objective initial,objective final,objective reduction,cost initial,cost final,cost reduction
heuristic,0.075,5,100,10,10,piece-wise,173216,144248.0,0.167,2.28,1.9,0.167,57717750.3,53082995.0,0.08,57717750.3,52994295.0,0.082
heuristic_fw,0.002,5,100,10,10,piece-wise,173216,99858.35511236619,0.424,2.28,1.31,0.425,57717750.3,51225210.83005512,0.112,57717750.3,51214158.0,0.113
