,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
0,3460.117,3406.442,3347.356,3299.759,3298.889,3051.742,3289.774,3284.289,3101.816,2828.654,2843.991,3081.99,3423.021,3678.302,3977.182,3961.077,3855.486,4121.082,3997.208,3715.861,3969.2,3875.751,3988.442,3865.054,3519.152,3537.425,3702.144,3805.835,3837.772,3983.35,4139.955,4133.795,4103.874,4029.374,3856.822,4191.74,4446.478,4488.439,4305.554,4178.605,4242.742,3911.009,3946.246,3999.413,3664.577,3344.035,3366.442,3178.863
1,63.133,88.774,103.662,58.283,82.026,1313.915,48.366,31.547,1643.174,46895.306,80459.236,14870.996,3063.581,40.715,0.858,0.962,7.979,1.41,2.169,52.62,1.824,3.384,0.782,2.085,619.305,949.835,33.289,7.709,9.658,0.96,2.297,4.336,3.158,3.179,72.079,15.295,36.514,25.11,34.293,58.82,78.013,92.714,122.205,143.896,370.583,3466.468,8966.403,14683.22
2,68.161,65.681,84.364,601.342,4065.433,76689.668,28082.07,10831.761,15209.178,594.94,11.118,8189.859,1422.009,45.883,0.97,3.757,13.099,1.019,3.841,85.883,3.092,6.859,1.386,3.756,739.697,1076.415,54.457,7.371,22.406,1.603,1.609,2.79,2.271,3.93,114.456,5.186,10.518,21.793,37.324,35.531,43.546,77.224,97.486,105.311,263.0,20508.626,7056.564,2261.883
3,78.406,560.882,1222.277,2582.32,892.095,0.53,58.053,10036.013,82766.184,28417.552,100.461,14935.314,5814.949,883.212,1.35,3.261,12.307,0.772,6.255,82.498,4.501,5.974,2.271,2.593,2839.509,754.675,164.751,14.41,43.76,4.29,0.904,2.112,1.849,9.946,135.548,13.617,52.679,28.666,23.984,56.047,94.175,146.869,173.576,175.934,381.909,1669.115,8468.117,14909.654
