,Average run_time,No_iterations,no_households,no_tasks,penalty_weight,cost_function_type,max_demand initial,max_demand final,max_demand reduction,PAR initial,PAR final,PAR reduction,objective initial,objective final,objective reduction,cost initial,cost final,cost reduction
heuristic,0.036,6,50,10,10,piece-wise,66001,145977.0,-1.212,1.99,4.41,-1.216,27841971.7,86470183.5,-2.106,27841971.7,86215283.5,-2.097
heuristic_fw,0.002,6,50,10,10,piece-wise,66001,41624.905102405515,0.369,1.99,1.26,0.367,27841971.7,22381341.268426456,0.196,27841971.7,22375417.63,0.196
