,Average run_time,No_iterations,no_households,no_tasks,penalty_weight,cost_function_type,max_demand initial,max_demand final,max_demand reduction,PAR initial,PAR final,PAR reduction,objective initial,objective final,objective reduction,cost initial,cost final,cost reduction
heuristic,0.065,8,100,10,10,piece-wise,125833,475028.0,-2.775,1.67,6.32,-2.784,65111042.3,296735443.3,-3.557,65111042.3,295466043.3,-3.538
heuristic_fw,0.001,8,100,10,10,piece-wise,125833,86901.56846705223,0.309,1.67,1.16,0.305,65111042.3,51213056.86806768,0.213,65111042.3,51200884.53,0.214
