,repeat,algorithm,average_run_time_per_iteration,no_iterations,no_households,no_tasks,penalty_weight,cost_function_type,max_demand initial,max_demand final,max_demand reduction,PAR initial,PAR final,PAR reduction,objective initial,objective final,objective reduction,cost initial,cost final,cost reduction
0,0,optimal,6.205,2,20,5,1,piece-wise,33154,33154.0,0.0,4.58,4.58,0.0,5448421.6,5448421.6,0.0,5448421.6,5448421.6,0.0
1,0,optimal_fw,0.002,2,20,5,1,piece-wise,33154,17915.098346367067,0.46,4.58,2.48,0.459,5448421.6,4862309.78,0.108,5448421.6,4862001.38,0.108
2,0,heuristic,0.019,2,20,5,1,piece-wise,33154,33154.0,0.0,4.58,4.58,0.0,5448421.6,5448681.0,-0.0,5448421.6,5448563.0,-0.0
3,0,heuristic_fw,0.002,2,20,5,1,piece-wise,33154,17019.343429048713,0.487,4.58,2.35,0.487,5448421.6,4862272.69,0.108,5448421.6,4861833.94,0.108
4,1,optimal,5.593,3,20,5,1,piece-wise,25065,30015.0,-0.197,2.66,3.19,-0.199,7208814.4,9551808.8,-0.325,7208814.4,9551554.8,-0.325
5,1,optimal_fw,0.002,3,20,5,1,piece-wise,25065,16861.957183627208,0.327,2.66,1.79,0.327,7208814.4,6334865.51,0.121,7208814.4,6334855.29,0.121
6,1,heuristic,0.018,4,20,5,1,piece-wise,25065,27319.0,-0.09,2.66,2.9,-0.09,7208814.4,8196958.3,-0.137,7208814.4,8196775.3,-0.137
7,1,heuristic_fw,0.001,4,20,5,1,piece-wise,25065,16334.092324950152,0.348,2.66,1.74,0.346,7208814.4,6334861.762750001,0.121,7208814.4,6334839.23,0.121
8,2,optimal,5.73,5,20,5,1,piece-wise,23573,38570.0,-0.636,3.12,5.11,-0.638,5797558.0,13518628.5,-1.332,5797558.0,13518225.5,-1.332
9,2,optimal_fw,0.001,5,20,5,1,piece-wise,23573,15638.809826777073,0.337,3.12,2.07,0.337,5797558.0,5085459.27821875,0.123,5797558.0,5085422.18,0.123
10,2,heuristic,0.02,5,20,5,1,piece-wise,23573,52622.0,-1.232,3.12,6.97,-1.234,5797558.0,17547320.6,-2.027,5797558.0,17546727.6,-2.027
11,2,heuristic_fw,0.001,5,20,5,1,piece-wise,23573,15638.809826777073,0.337,3.12,2.07,0.337,5797558.0,5085450.262062499,0.123,5797558.0,5085412.02,0.123
12,3,optimal,5.49,3,20,5,1,piece-wise,21300,22544.0,-0.058,2.63,2.78,-0.057,5979223.8,6342790.2,-0.061,5979223.8,6342664.2,-0.061
13,3,optimal_fw,0.002,3,20,5,1,piece-wise,21300,14045.874057954852,0.341,2.63,1.73,0.342,5979223.8,5461627.415,0.087,5979223.8,5461576.7,0.087
14,3,heuristic,0.023,3,20,5,1,piece-wise,21300,22544.0,-0.058,2.63,2.78,-0.057,5979223.8,6343871.0,-0.061,5979223.8,6343657.0,-0.061
15,3,heuristic_fw,0.002,3,20,5,1,piece-wise,21300,13532.424057954853,0.365,2.63,1.67,0.365,5979223.8,5460004.235,0.087,5979223.8,5459943.08,0.087
