,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
run_time,0.0,0.02604389190673828,0.01744818687438965,0.013915061950683594,0.016782045364379883,0.014705181121826172,0.012931108474731445,0.009919166564941406,0.008449077606201172,0.007761240005493164,0.006973981857299805,0.004686117172241211,0.004832029342651367,0.004556894302368164,0.0056760311126708984,0.0064351558685302734,0.004758119583129883,0.0034711360931396484,0.0036520957946777344,0.001264810562133789
max_demand,2486911.0,2423463.842059753,2380966.506705915,2346032.474754723,2309525.7795249587,2277791.7338150553,2250132.257558314,2231164.8364373413,2214021.225614868,2201152.443768498,2190428.565764142,2182329.2322791815,2175876.700418045,2169395.030310173,2160934.1800456806,2152590.8207987826,2146310.404941282,2142091.848464804,2137897.3710557227,2137897.3710557227
step_size,1.0,0.027000000000000017,0.01800000000000001,0.015000000000000006,0.016000000000000007,0.015000000000000006,0.013000000000000005,0.009000000000000001,0.008,0.006,0.005,0.004,0.003,0.003,0.004,0.004,0.003,0.002,0.002,0.0
objective,1681983931.9,1609302750.22,1575503878.74436,1556639416.9879844,1539586802.4801123,1526820880.8490484,1518228630.3516123,1513066299.8779256,1509495142.0424967,1507297546.8380852,1505664123.9053094,1504546172.0537786,1503785770.4173987,1503252949.1973076,1502637627.6006908,1502109690.0406773,1501700060.153908,1501452595.6360123,1501288934.783148,1501288934.783148
total_demand,97683744.0,97683743.99999997,97683743.99999999,97683744.00000001,97683744.00000001,97683744.0,97683743.99999999,97683744.0,97683743.99999999,97683744.0,97683744.00000001,97683743.99999997,97683744.0,97683743.99999994,97683743.99999996,97683744.00000003,97683744.0,97683743.99999999,97683744.00000003,97683744.00000003
cost,1681983931.9,1607845513.24,1574754546.61,1556213777.62,1539251155.75,1526436994.05,1518005549.01,1512838716.44,1509302868.39,1507187607.9,1505552717.35,1504462324.52,1503715829.52,1503179001.87,1502579585.27,1502060878.01,1501653263.16,1501410262.21,1501236168.03,1501236168.03
PAR,1.22,1.19,1.17,1.15,1.13,1.12,1.11,1.1,1.09,1.08,1.08,1.07,1.07,1.07,1.06,1.06,1.05,1.05,1.05,1.05
inconvenient,0.0,1457236.980000001,749332.1343600003,425639.3679846002,335646.7301122465,383886.79904831643,223081.34161237197,227583.4379254887,192273.6524965961,109938.93808502043,111406.5553095749,83847.5337787617,69940.89739866371,73947.32730780401,58042.33069076879,48812.03067723692,46796.99390796829,42333.42601218406,52766.75314797563,52766.75314797563
