,average_run_time,No_iterations,no_households,no_tasks,penalty_weight,cost_function_type,max_demand initial,max_demand final,max_demand reduction,PAR initial,PAR final,PAR reduction,objective initial,objective final,objective reduction,cost initial,cost final,cost reduction
heuristic,0.051,6,40,10,10,piece-wise,59251,89102.0,-0.504,2.3,3.45,-0.5,20493108.5,34451961.5,-0.681,20493108.5,34363361.5,-0.677
heuristic_fw,0.002,6,40,10,10,piece-wise,59251,35314.72340149847,0.404,2.3,1.37,0.404,20493108.5,17401785.65074032,0.151,20493108.5,17399907.47,0.151
