,Average run_time,No_iterations,no_tasks,penalty_weight,cost_function_type,max_demand initial,max_demand final,max_demand reduction,PAR initial,PAR final,PAR reduction,objective initial,objective final,objective reduction,cost initial,cost final,cost reduction
optimal,3.08,9,5,0,piece-wise,45529,325292.0,-6.145,2.35,16.79,-6.145,14156416.0,159395410.9,-10.26,14156416.0,159395410.9,-10.26
optimal_fw,0.001,9,5,0,piece-wise,45529,36089.15161751732,0.207,2.35,1.86,0.209,14156416.0,13124751.53,0.073,14156416.0,13124751.53,0.073
heuristic,0.001,8,5,0,piece-wise,45529,52829.0,-0.16,2.35,2.73,-0.162,14156416.0,17854235.8,-0.261,14156416.0,17854235.8,-0.261
heuristic_fw,0.002,8,5,0,piece-wise,45529,24892.068751246108,0.453,2.35,1.29,0.451,14156416.0,13018225.89,0.08,14156416.0,13018225.89,0.08
