,Average run_time,No_iterations,no_households,no_tasks,penalty_weight,cost_function_type,max_demand initial,max_demand final,max_demand reduction,PAR initial,PAR final,PAR reduction,objective initial,objective final,objective reduction,cost initial,cost final,cost reduction
heuristic,0.173,4,100,10,10,piece-wise,146818,212931.0,-0.45,2.03,2.95,-0.453,55050805.5,80268057.5,-0.458,55050805.5,80088557.5,-0.455
heuristic_fw,0.005,4,100,10,10,piece-wise,146818,89923.80958369181,0.388,2.03,1.24,0.389,55050805.5,48709611.354822405,0.115,55050805.5,48695337.67,0.115
