,average_run_time_per_iteration,no_iterations,no_households,no_tasks,penalty_weight,cost_function_type,max_demand initial,max_demand final,max_demand reduction,PAR initial,PAR final,PAR reduction,objective initial,objective final,objective reduction,cost initial,cost final,cost reduction
optimal,12.58,3,40,5,1,piece-wise,33980,38625.0,-0.137,2.51,2.86,-0.139,9757819.1,11572980.8,-0.186,9757819.1,11572917.8,-0.186
optimal_fw,0.016,3,40,5,1,piece-wise,33980,21477.031981284756,0.368,2.51,1.59,0.367,9757819.1,9094441.350008002,0.068,9757819.1,9094421.3,0.068
