,0,1,2,3,4,5,6,7,8,9,10
run_time,0.0,0.16200000000000012,0.17400000000000013,0.19300000000000014,0.1480000000000001,0.16300000000000012,0.16000000000000011,0.17100000000000012,0.1500000000000001,0.1450000000000001,0.12600000000000008
total_demand,7433879.0,7433879.0,7433879.0,7433879.0,7433879.0,7433879.0,7433879.0,7433879.0,7433879.0,7433879.0,7433879.0
max_demand,270490.0,710131.0,765019.0,1055736.0,913783.0,1058025.0,646390.0,624822.0,739762.0,663179.0,927172.0
cost,117263797.5,692578133.2,630056521.3,711005766.3,565108581.1,636597603.4,597569191.2,563738265.8,505631690.0,518865523.4,555236020.9
objective,117263797.5,695160033.2,632379921.3,713782366.3,567705881.1,638909203.4,599941291.2,565971465.8,507865690.0,520945623.4,557438720.9
inconvenient,0.0,2581900.0,2323400.0,2776600.0,2597300.0,2311600.0,2372100.0,2233200.0,2234000.0,2080100.0,2202700.0
PAR,1.75,4.59,4.94,6.82,5.9,6.83,4.17,4.03,4.78,4.28,5.99
step_size,1.0,0.12399999999999997,0.08499999999999999,0.034,0.034,0.022,0.023,0.011,0.023,0.011,0.0
