,average_run_time,no_iterations,no_households,no_tasks,penalty_weight,cost_function_type,max_demand initial,max_demand final,max_demand reduction,PAR initial,PAR final,PAR reduction,objective initial,objective final,objective reduction,cost initial,cost final,cost reduction
optimal,761.538,23,5000,5,100,piece-wise,2449363,27092722.0,-10.061,1.22,13.46,-10.033,1641650390.2,90041557307.6,-53.848,1641650390.2,89995888507.6,-53.82
optimal_fw,0.007,23,5000,5,100,piece-wise,2449363,2077375.0320714975,0.152,1.22,1.03,0.156,1641650390.2,1490574791.0666878,0.092,1641650390.2,1490565654.21,0.092
heuristic,2.161,21,5000,5,100,piece-wise,2449363,4157046.0,-0.697,1.22,2.07,-0.697,1641650390.2,26682979255.7,-15.254,1641650390.2,26674785455.7,-15.249
heuristic_fw,0.008,21,5000,5,100,piece-wise,2449363,2077164.5567022397,0.152,1.22,1.03,0.156,1641650390.2,1490533323.099616,0.092,1641650390.2,1490518097.28,0.092
