,repeat,algorithm,average_run_time_per_iteration,no_iterations,no_households,no_tasks,penalty_weight,cost_function_type,max_demand initial,max_demand final,max_demand reduction,PAR initial,PAR final,PAR reduction,objective initial,objective final,objective reduction,cost initial,cost final,cost reduction
0,0,optimal,5.818,5,20,5,1,piece-wise,31574,31574.0,0.0,3.7,3.7,0.0,6286583.3,6286583.3,0.0,6286583.3,6286583.3,0.0
1,0,optimal_fw,0.006,5,20,5,1,piece-wise,31574,19696.94423565883,0.376,3.7,2.31,0.376,6286583.3,5736503.250545439,0.088,6286583.3,5736469.56,0.088
2,0,heuristic,0.019,4,20,5,1,piece-wise,31574,35074.0,-0.111,3.7,4.11,-0.111,6286583.3,7599784.7,-0.209,6286583.3,7599706.7,-0.209
3,0,heuristic_fw,0.006,4,20,5,1,piece-wise,31574,20345.122208450055,0.356,3.7,2.39,0.354,6286583.3,5739113.861761,0.087,6286583.3,5739112.72,0.087
4,1,optimal,5.207,3,20,5,1,piece-wise,32930,32930.0,0.0,4.38,4.38,0.0,5644522.6,5644522.6,0.0,5644522.6,5644522.6,0.0
5,1,optimal_fw,0.008,3,20,5,1,piece-wise,32930,20571.511587158453,0.375,4.38,2.73,0.377,5644522.6,5062995.457175,0.103,5644522.6,5062998.71,0.103
6,1,heuristic,0.018,3,20,5,1,piece-wise,32930,32930.0,0.0,4.38,4.38,0.0,5644522.6,5644676.6,-0.0,5644522.6,5644522.6,0.0
7,1,heuristic_fw,0.008,3,20,5,1,piece-wise,32930,20482.924505006697,0.378,4.38,2.72,0.379,5644522.6,5062507.533500001,0.103,5644522.6,5062500.23,0.103
8,2,optimal,5.525,2,20,5,1,piece-wise,48800,48800.0,0.0,5.61,5.61,0.0,6661118.0,6661118.0,0.0,6661118.0,6661118.0,0.0
9,2,optimal_fw,0.007,2,20,5,1,piece-wise,48800,27637.6460563105,0.434,5.61,3.18,0.433,6661118.0,5848612.17,0.122,6661118.0,5848524.42,0.122
10,2,heuristic,0.02,2,20,5,1,piece-wise,48800,48800.0,0.0,5.61,5.61,0.0,6661118.0,6661134.0,-0.0,6661118.0,6661118.0,0.0
11,2,heuristic_fw,0.007,2,20,5,1,piece-wise,48800,27637.6460563105,0.434,5.61,3.18,0.433,6661118.0,5848622.5600000005,0.122,6661118.0,5848524.41,0.122
12,3,optimal,6.91,3,20,5,1,piece-wise,20860,31660.0,-0.518,2.84,4.31,-0.518,5405263.4,7737692.4,-0.432,5405263.4,7737653.4,-0.432
13,3,optimal_fw,0.009,3,20,5,1,piece-wise,20860,13201.932758108458,0.367,2.84,1.8,0.366,5405263.4,4939110.4716,0.086,5405263.4,4939087.81,0.086
14,3,heuristic,0.021,4,20,5,1,piece-wise,20860,20860.0,0.0,2.84,2.84,0.0,5405263.4,5405272.4,-0.0,5405263.4,5405263.4,0.0
15,3,heuristic_fw,0.007,4,20,5,1,piece-wise,20860,13056.896643685579,0.374,2.84,1.78,0.373,5405263.4,4939953.38359,0.086,5405263.4,4939952.75,0.086
