,repeat,algorithm,average_run_time_per_iteration,no_iterations,no_households,no_tasks,penalty_weight,cost_function_type,max_demand initial,max_demand final,max_demand reduction,PAR initial,PAR final,PAR reduction,objective initial,objective final,objective reduction,cost initial,cost final,cost reduction
0,0,optimal,5.24,5,20,5,1,piece-wise,29236,29236.0,0.0,3.41,3.41,0.0,6431567.4,6812908.8,-0.059,6431567.4,6812867.8,-0.059
1,0,optimal_fw,0.011,5,20,5,1,piece-wise,29236,18713.589989999997,0.36,3.41,2.18,0.361,6431567.4,5772343.174783247,0.102,6431567.4,5772329.79,0.103
2,0,heuristic,0.019,6,20,5,1,piece-wise,29236,29236.0,0.0,3.41,3.41,0.0,6431567.4,6812908.8,-0.059,6431567.4,6812867.8,-0.059
3,0,heuristic_fw,0.009,6,20,5,1,piece-wise,29236,19299.99,0.34,3.41,2.25,0.34,6431567.4,5773169.311826987,0.102,6431567.4,5773169.16,0.102
4,1,optimal,5.745,4,20,5,1,piece-wise,32716,32716.0,0.0,3.74,3.74,0.0,6441753.0,6441753.0,0.0,6441753.0,6441753.0,0.0
5,1,optimal_fw,0.006,4,20,5,1,piece-wise,32716,20562.0,0.372,3.74,2.35,0.372,6441753.0,5887924.529132144,0.086,6441753.0,5887902.49,0.086
6,1,heuristic,0.019,4,20,5,1,piece-wise,32716,32716.0,0.0,3.74,3.74,0.0,6441753.0,6435353.8,0.001,6441753.0,6435262.8,0.001
7,1,heuristic_fw,0.005,4,20,5,1,piece-wise,32716,20562.0,0.372,3.74,2.35,0.372,6441753.0,5888578.454988611,0.086,6441753.0,5888558.83,0.086
8,0,optimal,17.305,8,40,5,1,piece-wise,35529,61100.0,-0.72,1.91,3.29,-0.723,15185809.2,30492015.0,-1.008,15185809.2,30491180.0,-1.008
9,0,optimal_fw,0.019,8,40,5,1,piece-wise,35529,22613.201659967253,0.364,1.91,1.22,0.361,15185809.2,12517197.26436607,0.176,15185809.2,12517196.44,0.176
10,0,heuristic,0.038,7,40,5,1,piece-wise,35529,46847.0,-0.319,1.91,2.52,-0.319,15185809.2,20773905.7,-0.368,15185809.2,20773263.7,-0.368
11,0,heuristic_fw,0.022,7,40,5,1,piece-wise,35529,22673.628068524496,0.362,1.91,1.22,0.361,15185809.2,12518074.696417257,0.176,15185809.2,12518054.25,0.176
12,1,optimal,11.418,5,40,5,1,piece-wise,51891,60193.0,-0.16,3.33,3.86,-0.159,11890073.3,13362834.5,-0.124,11890073.3,13362590.5,-0.124
13,1,optimal_fw,0.008,5,40,5,1,piece-wise,51891,33099.70434911304,0.362,3.33,2.12,0.363,11890073.3,10492676.004132772,0.118,11890073.3,10492670.07,0.118
