no_households,no_tasks,algorithm,penalty_weight,cost_function_type,repeat,average_run_time_per_iteration,no_iterations,max_demand initial,max_demand final,max_demand reduction,PAR initial,PAR final,PAR reduction,objective initial,objective final,objective reduction,cost initial,cost final,cost reduction
20,5,heuristic,1,piece-wise,0.5,0.019,5.0,30976.0,30976.0,0.0,3.575,3.575,0.0,6436660.2,6624131.3,-0.028999999999999998,6436660.2,6624065.3,-0.028999999999999998
20,5,heuristic_fw,1,piece-wise,0.5,0.006999999999999999,5.0,30976.0,19930.995000000003,0.356,3.575,2.3,0.356,6436660.2,5830873.8834077995,0.094,6436660.2,5830863.995,0.094
20,5,optimal,1,piece-wise,0.5,5.4925,4.5,30976.0,30976.0,0.0,3.575,3.575,0.0,6436660.2,6627330.9,-0.0295,6436660.2,6627310.4,-0.0295
20,5,optimal_fw,1,piece-wise,0.5,0.0085,4.5,30976.0,19637.794994999997,0.366,3.575,2.265,0.3665,6436660.2,5830133.851957696,0.094,6436660.2,5830116.140000001,0.0945
40,5,heuristic,1,piece-wise,0.5,0.042499999999999996,6.0,43710.0,49369.0,-0.1595,2.62,2.925,-0.1595,13537941.25,16332407.3,-0.184,13537941.25,16332071.3,-0.184
40,5,heuristic_fw,1,piece-wise,0.5,0.014499999999999999,6.0,43710.0,27686.80903426225,0.366,2.62,1.6600000000000001,0.365,13537941.25,11505335.620281478,0.147,13537941.25,11505324.440000001,0.147
40,5,optimal,1,piece-wise,0.5,14.3615,6.5,43710.0,60646.5,-0.44,2.62,3.575,-0.441,13537941.25,21927424.75,-0.5660000000000001,13537941.25,21926885.25,-0.5660000000000001
40,5,optimal_fw,1,piece-wise,0.5,0.0135,6.5,43710.0,27856.453004540148,0.363,2.62,1.67,0.362,13537941.25,11504936.63424942,0.147,13537941.25,11504933.254999999,0.147
60,5,heuristic,1,piece-wise,0.5,0.061,4.0,58136.0,62720.0,-0.0785,2.285,2.46,-0.0765,18499262.6,20049612.6,-0.08399999999999999,18499262.6,20049108.1,-0.08349999999999999
60,5,heuristic_fw,1,piece-wise,0.5,0.0155,4.0,58136.0,37094.90226938038,0.362,2.285,1.455,0.3635,18499262.6,17156102.195995547,0.07250000000000001,18499262.6,17156100.79,0.07250000000000001
60,5,optimal,1,piece-wise,0.5,21.408,5.0,58136.0,60789.0,-0.0485,2.285,2.385,-0.047,18499262.6,19090468.75,-0.032,18499262.6,19090335.25,-0.032
60,5,optimal_fw,1,piece-wise,0.5,0.0125,5.0,58136.0,36844.805791721235,0.366,2.285,1.445,0.3675,18499262.6,17154277.688568193,0.07250000000000001,18499262.6,17154267.64,0.07250000000000001
80,5,heuristic,1,piece-wise,0.5,0.0815,5.0,69102.0,73306.5,-0.056,2.0999999999999996,2.2199999999999998,-0.0565,23661730.6,26074113.75,-0.095,23661730.6,26073552.25,-0.095
80,5,heuristic_fw,1,piece-wise,0.5,0.020499999999999997,5.0,69102.0,44010.88252176394,0.363,2.0999999999999996,1.34,0.362,23661730.6,22116404.188259363,0.0645,23661730.6,22116326.545,0.0645
80,5,optimal,1,piece-wise,0.5,29.9315,6.0,69102.0,77311.5,-0.1185,2.0999999999999996,2.35,-0.119,23661730.6,26043820.049999997,-0.099,23661730.6,26043638.549999997,-0.099
80,5,optimal_fw,1,piece-wise,0.5,0.0135,6.0,69102.0,44038.082255411144,0.3635,2.0999999999999996,1.3399999999999999,0.362,23661730.6,22115298.318916313,0.0645,23661730.6,22115295.564999998,0.0645
100,5,heuristic,1,piece-wise,0.5,0.099,10.5,78828.0,96181.5,-0.234,2.06,2.505,-0.2355,28808117.7,41385278.45,-0.422,28808117.7,41384098.45,-0.422
100,5,heuristic_fw,1,piece-wise,0.5,0.010499999999999999,10.5,78828.0,49897.16866264964,0.367,2.06,1.305,0.3665,28808117.7,25821185.40209684,0.10350000000000001,28808117.7,25821184.055,0.10350000000000001
100,5,optimal,1,piece-wise,0.5,35.406,7.5,78828.0,113803.5,-0.4495,2.06,2.9699999999999998,-0.45,28808117.7,47883472.0,-0.6545,28808117.7,47882341.5,-0.654
100,5,optimal_fw,1,piece-wise,0.5,0.0135,7.5,78828.0,50285.493973150675,0.362,2.06,1.315,0.3615,28808117.7,25820729.32474761,0.10350000000000001,28808117.7,25820713.810000002,0.10350000000000001
