,0,1,2,3,4,5,6,7
inconvenient,0.0,1166700.0,887800.0,1029900.0,765000.0,797000.0,682200.0,671400.0
total_demand,3282419.0,3282419.0,3282419.0,3282419.0,3282419.0,3282419.0,3282419.0,3282419.0
cost,61955301.1,219665049.0,177003945.8,223063386.1,226146184.8,232781701.7,198066372.5,210975724.8
PAR,1.83,3.62,3.9,3.99,4.99,5.08,5.1,4.52
objective,61955301.1,220831749.0,177891745.8,224093286.1,226911184.8,233578701.7,198748572.5,211647124.8
run_time,0.0,0.04400000000000003,0.07100000000000005,0.06700000000000005,0.06600000000000004,0.07100000000000005,0.07600000000000005,0.08500000000000006
step_size,1.0,0.20400000000000004,0.12299999999999997,0.06999999999999999,0.022,0.012,0.011,0.0
max_demand,125456.0,247293.0,266364.0,272911.0,341022.0,347328.0,348517.0,309370.0
