,repeat,algorithm,average_run_time,No_iterations,no_households,no_tasks,penalty_weight,cost_function_type,max_demand initial,max_demand final,max_demand reduction,PAR initial,PAR final,PAR reduction,objective initial,objective final,objective reduction,cost initial,cost final,cost reduction
0,0,heuristic,0.028,7,50,10,10,piece-wise,70441,172094.0,-1.443,1.91,4.67,-1.445,30298794.7,65857170.6,-1.174,30298794.7,65680770.6,-1.168
1,0,heuristic_fw,0.001,7,50,10,10,piece-wise,70441,42912.49897059555,0.391,1.91,1.16,0.393,30298794.7,24887919.6883352,0.179,30298794.7,24885850.37,0.179
2,1,heuristic,0.038,9,50,10,10,piece-wise,66668,176841.0,-1.653,2.07,5.48,-1.647,29868790.4,100380380.2,-2.361,29868790.4,99980080.2,-2.347
3,1,heuristic_fw,0.001,9,50,10,10,piece-wise,66668,42452.973413111875,0.363,2.07,1.32,0.362,29868790.4,21868199.572231077,0.268,29868790.4,21863056.09,0.268
4,0,heuristic,0.084,10,100,10,10,piece-wise,126243,343847.0,-1.724,1.64,4.47,-1.726,65530398.1,298034020.4,-3.548,65530398.1,296817220.4,-3.529
5,0,heuristic_fw,0.001,10,100,10,10,piece-wise,126243,86908.23815355237,0.312,1.64,1.13,0.311,65530398.1,52465725.965974264,0.199,65530398.1,52453729.17,0.2
6,1,heuristic,0.076,13,100,10,10,piece-wise,127965,391222.0,-2.057,1.58,4.84,-2.063,69182946.6,346671595.5,-4.011,69182946.6,345274495.5,-3.991
7,1,heuristic_fw,0.001,13,100,10,10,piece-wise,127965,92412.2049984923,0.278,1.58,1.14,0.278,69182946.6,55587771.19885342,0.197,69182946.6,55567693.89,0.197
8,0,heuristic,0.136,8,150,10,10,piece-wise,192097,810473.0,-3.219,1.72,7.27,-3.227,88756312.3,397394651.2,-3.477,88756312.3,396430551.2,-3.467
9,0,heuristic_fw,0.002,8,150,10,10,piece-wise,192097,129313.0247806256,0.327,1.72,1.16,0.326,88756312.3,75631063.4531544,0.148,88756312.3,75620389.07,0.148
10,1,heuristic,0.132,13,150,10,10,piece-wise,190025,798248.0,-3.201,1.67,7.03,-3.21,100927622.5,458358030.1,-3.541,100927622.5,456305130.1,-3.521
11,1,heuristic_fw,0.001,13,150,10,10,piece-wise,190025,127099.58253262732,0.331,1.67,1.12,0.329,100927622.5,77590207.28503473,0.231,100927622.5,77542931.02,0.232
12,0,heuristic,0.157,9,200,10,10,piece-wise,189037,1752239.0,-8.269,1.3,12.08,-8.292,163602219.0,1080664467.0,-5.605,163602219.0,1069696767.0,-5.538
13,0,heuristic_fw,0.001,9,200,10,10,piece-wise,189037,160803.26922807525,0.149,1.3,1.11,0.146,163602219.0,115432996.66516691,0.294,163602219.0,115337480.46,0.295
14,1,heuristic,0.155,13,200,10,10,piece-wise,249443,808215.0,-2.24,1.55,5.04,-2.252,132515534.8,623208693.3,-3.703,132515534.8,621610193.3,-3.691
15,1,heuristic_fw,0.001,13,200,10,10,piece-wise,249443,177983.29425661868,0.286,1.55,1.11,0.284,132515534.8,110423833.57162455,0.167,132515534.8,110409713.32,0.167
