,Average run_time,No_iterations,no_households,no_tasks,penalty_weight,cost_function_type,max_demand initial,max_demand final,max_demand reduction,PAR initial,PAR final,PAR reduction,objective initial,objective final,objective reduction,cost initial,cost final,cost reduction
heuristic,0.03,4,50,10,10,piece-wise,86001,82195.0,0.044,2.17,2.07,0.046,30326884.4,29632096.1,0.023,30326884.4,29586996.1,0.024
heuristic_fw,0.002,4,50,10,10,piece-wise,86001,50870.64208824919,0.408,2.17,1.28,0.41,30326884.4,26712502.674000002,0.119,30326884.4,26706325.92,0.119
