,average_run_time,no_iterations,no_households,no_tasks,penalty_weight,cost_function_type,max_demand initial,max_demand final,max_demand reduction,PAR initial,PAR final,PAR reduction,objective initial,objective final,objective reduction,cost initial,cost final,cost reduction
optimal,885.058,22,5000,5,10,piece-wise,2449363,38653644.0,-14.781,1.22,19.21,-14.746,1641650390.2,113418782588.6,-68.088,1641650390.2,113402396738.6,-68.078
optimal_fw,0.007,22,5000,5,10,piece-wise,2449363,2101654.6351848952,0.142,1.22,1.04,0.148,1641650390.2,1490958041.4779549,0.092,1641650390.2,1490895738.08,0.092
heuristic,2.647,25,5000,5,10,piece-wise,2449363,28181023.0,-10.505,1.22,14.0,-10.475,1641650390.2,121012175399.1,-72.714,1641650390.2,120982963159.1,-72.696
heuristic_fw,0.007,25,5000,5,10,piece-wise,2449363,2085919.930363808,0.148,1.22,1.04,0.148,1641650390.2,1490569165.5411577,0.092,1641650390.2,1490568675.32,0.092
