,0,1,2,3,4,5,6,7,8,9,10
cost,65530398.1,55387683.51,53556539.23,53026604.73,52837519.26,52706898.96,52563890.27,52498243.97,52475484.56,52453729.17,52453729.17
run_time,0.0,0.0034949779510498047,0.002054929733276367,0.0011858940124511719,0.0008552074432373047,0.000865936279296875,0.0009038448333740234,0.0007739067077636719,0.001127004623413086,0.0005671977996826172,0.0003459453582763672
step_size,1.0,0.13399999999999998,0.06899999999999999,0.044,0.022,0.022,0.035,0.022,0.011,0.013,0.0
max_demand,126243.0,110327.58492907419,102930.4378333886,98475.9392477962,96322.17181699366,94217.05819380966,90967.55334415665,88991.10177253986,88026.80765304192,86908.23815355237,86908.23815355237
inconvenient,0.0,224047.99999999997,100032.88799999999,66684.952928,32199.531035584,31475.410317217153,41437.3606388974,29441.778065944254,11769.540441274612,11996.795974263428,11996.795974263428
total_demand,3692540.0,3692540.0,3692540.000000001,3692539.9999999986,3692540.0,3692539.9999999995,3692540.0,3692540.0,3692540.0000000005,3692540.0,3692540.0
objective,65530398.1,55611731.51,53656572.11799999,53093289.682927996,52869718.791035585,52738374.37031722,52605327.6306389,52527685.74806594,52487254.10044128,52465725.965974264,52465725.965974264
PAR,1.64,1.43,1.34,1.28,1.25,1.22,1.18,1.16,1.14,1.13,1.13
